areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,07/06/2020,722
K02000001,United Kingdom,overview,08/06/2020,1099
K02000001,United Kingdom,overview,09/06/2020,1165
K02000001,United Kingdom,overview,10/06/2020,1196
K02000001,United Kingdom,overview,11/06/2020,1013
K02000001,United Kingdom,overview,12/06/2020,1053
K02000001,United Kingdom,overview,13/06/2020,886
K02000001,United Kingdom,overview,14/06/2020,826
K02000001,United Kingdom,overview,15/06/2020,1045
K02000001,United Kingdom,overview,16/06/2020,1103
K02000001,United Kingdom,overview,17/06/2020,1017
K02000001,United Kingdom,overview,18/06/2020,1022
K02000001,United Kingdom,overview,19/06/2020,993
K02000001,United Kingdom,overview,20/06/2020,683
K02000001,United Kingdom,overview,21/06/2020,636
K02000001,United Kingdom,overview,22/06/2020,899
K02000001,United Kingdom,overview,23/06/2020,883
K02000001,United Kingdom,overview,24/06/2020,0
K02000001,United Kingdom,overview,25/06/2020,726
K02000001,United Kingdom,overview,26/06/2020,666
K02000001,United Kingdom,overview,27/06/2020,653
K02000001,United Kingdom,overview,28/06/2020,449
K02000001,United Kingdom,overview,29/06/2020,724
K02000001,United Kingdom,overview,30/06/2020,623
K02000001,United Kingdom,overview,01/07/2020,652
K02000001,United Kingdom,overview,02/07/2020,606
K02000001,United Kingdom,overview,03/07/2020,568
K02000001,United Kingdom,overview,04/07/2020,399
K02000001,United Kingdom,overview,05/07/2020,0
K02000001,United Kingdom,overview,06/07/2020,714
K02000001,United Kingdom,overview,07/07/2020,608
K02000001,United Kingdom,overview,08/07/2020,713
K02000001,United Kingdom,overview,09/07/2020,722
K02000001,United Kingdom,overview,10/07/2020,568
K02000001,United Kingdom,overview,11/07/2020,459
K02000001,United Kingdom,overview,12/07/2020,366
K02000001,United Kingdom,overview,13/07/2020,740
K02000001,United Kingdom,overview,14/07/2020,705
K02000001,United Kingdom,overview,15/07/2020,777
K02000001,United Kingdom,overview,16/07/2020,712
