,,Chatham Roadside,
Date,Time,PM10 Kent (Hourly measured),Status
04/03/2017,24:00:00,12.164,V ugm-3 (Ref.eq)
05/03/2017,01:00:00,14.754,V ugm-3 (Ref.eq)
05/03/2017,02:00:00,10.744,V ugm-3 (Ref.eq)
05/03/2017,03:00:00,16.88,V ugm-3 (Ref.eq)
05/03/2017,04:00:00,17.111,V ugm-3 (Ref.eq)
05/03/2017,05:00:00,15.469,V ugm-3 (Ref.eq)
05/03/2017,06:00:00,18.058,V ugm-3 (Ref.eq)
05/03/2017,07:00:00,19.237,V ugm-3 (Ref.eq)
05/03/2017,08:00:00,21.363,V ugm-3 (Ref.eq)
05/03/2017,09:00:00,13.102,V ugm-3 (Ref.eq)
05/03/2017,10:00:00,6.734,V ugm-3 (Ref.eq)
05/03/2017,11:00:00,11.218,V ugm-3 (Ref.eq)
05/03/2017,12:00:00,17.585,V ugm-3 (Ref.eq)
05/03/2017,13:00:00,12.396,V ugm-3 (Ref.eq)
05/03/2017,14:00:00,14.995,V ugm-3 (Ref.eq)
05/03/2017,15:00:00,19.005,V ugm-3 (Ref.eq)
05/03/2017,16:00:00,13.817,V ugm-3 (Ref.eq)
05/03/2017,17:00:00,13.817,V ugm-3 (Ref.eq)
05/03/2017,18:00:00,14.522,V ugm-3 (Ref.eq)
05/03/2017,19:00:00,8.387,V ugm-3 (Ref.eq)
05/03/2017,20:00:00,10.039,V ugm-3 (Ref.eq)
05/03/2017,21:00:00,14.995,V ugm-3 (Ref.eq)
05/03/2017,22:00:00,5.797,V ugm-3 (Ref.eq)
05/03/2017,23:00:00,6.976,V ugm-3 (Ref.eq)
05/03/2017,24:00:00,5.082,V ugm-3 (Ref.eq)
06/03/2017,01:00:00,6.503,V ugm-3 (Ref.eq)
06/03/2017,02:00:00,8.86,V ugm-3 (Ref.eq)
06/03/2017,03:00:00,9.565,V ugm-3 (Ref.eq)
06/03/2017,04:00:00,6.734,V ugm-3 (Ref.eq)
06/03/2017,05:00:00,4.609,V ugm-3 (Ref.eq)
06/03/2017,06:00:00,6.261,V ugm-3 (Ref.eq)
06/03/2017,07:00:00,14.522,V ugm-3 (Ref.eq)
06/03/2017,08:00:00,15.227,V ugm-3 (Ref.eq)
