Expenditure_Data_Local_Authority,Expenditure_Data_Year,Expenditure_Data_Expenditure_Cash,Expenditure_Data_Expenditure_Real,Expenditure_Data_ServiceAreaAggregate,Expenditure_Data_ServiceAreaBreakdown,Expenditure_Data_YearIndex
Dundee City,2014-15,5105,6229,Environmental Services,Waste Collection,15
Dundee City,2014-15,7929,9675,Environmental Services,Waste Disposal,15
Dundee City,2014-15,10409,12701,Looked After Children,Community,15
Dundee City,2014-15,6253,7630,Looked After Children,Residential,15
Dundee City,2014-15,2661,3247,Planning,Planning,15
Dundee City,2014-15,21644,26411,Roads,Roads,15
Dundee City,2014-15,19765,24118,Support Services,Support Services,15
Dundee City,2014-15,442499,539954,Total General Fund,Total General Fund,15
Dundee City,2015-16,22290,27005,Adult Social Care,Care Homes for Older People,16
Dundee City,2015-16,15950,19324,Adult Social Care,Homecare,16
Dundee City,2015-16,52738,63893,Adult Social Care,Other Spend On Over 18s,16
Dundee City,2015-16,4745,5749,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,16
Dundee City,2015-16,4230,5125,Culture & Leisure,Libraries,16
Dundee City,2015-16,1522,1844,Culture & Leisure,Museums & Galleries,16
Dundee City,2015-16,3820,4628,Culture & Leisure,Sports Facilities,16
Dundee City,2015-16,9473,11477,Economic Development,Economic Development & Tourism,16
Dundee City,2015-16,10029,12150,Education,Pre-school,16
Dundee City,2015-16,43467,52661,Education,Primary,16
Dundee City,2015-16,49859,60405,Education,Secondary,16
Dundee City,2015-16,3057,3704,Environmental Services,Street cleaning,16
Dundee City,2015-16,2970,3598,Environmental Services,Trading Standards & Env. Health,16
Dundee City,2015-16,5080,6155,Environmental Services,Waste Collection,16
Dundee City,2015-16,7677,9301,Environmental Services,Waste Disposal,16
Dundee City,2015-16,10789,13071,Looked After Children,Community,16
Dundee City,2015-16,8651,10481,Looked After Children,Residential,16
Dundee City,2015-16,2370,2871,Planning,Planning,16
Dundee City,2015-16,14019,16984,Roads,Roads,16
Dundee City,2015-16,21209,25695,Support Services,Support Services,16
Dundee City,2015-16,449055,544039,Total General Fund,Total General Fund,16
Dundee City,2016-17,23335,27642,Adult Social Care,Care Homes for Older People,17
Dundee City,2016-17,17438,20657,Adult Social Care,Homecare,17
Dundee City,2016-17,61037,72303,Adult Social Care,Other Spend On Over 18s,17
Dundee City,2016-17,3968,4700,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,17
Dundee City,2016-17,4438,5257,Culture & Leisure,Libraries,17
Dundee City,2016-17,1740,2061,Culture & Leisure,Museums & Galleries,17
Dundee City,2016-17,3621,4289,Culture & Leisure,Sports Facilities,17
Dundee City,2016-17,9604,11377,Economic Development,Economic Development & Tourism,17
Dundee City,2016-17,10689,12662,Education,Pre-school,17
Dundee City,2016-17,47144,55846,Education,Primary,17
Dundee City,2016-17,52156,61783,Education,Secondary,17
Dundee City,2016-17,2565,3038,Environmental Services,Street cleaning,17
Dundee City,2016-17,3173,3759,Environmental Services,Trading Standards & Env. Health,17
Dundee City,2016-17,5642,6683,Environmental Services,Waste Collection,17
Dundee City,2016-17,7933,9397,Environmental Services,Waste Disposal,17
Dundee City,2016-17,13546,16046,Looked After Children,Community,17
Dundee City,2016-17,14673,17381,Looked After Children,Residential,17
Dundee City,2016-17,2039,2415,Planning,Planning,17
Dundee City,2016-17,9979,11821,Roads,Roads,17
Dundee City,2016-17,20212,23943,Support Services,Support Services,17
Dundee City,2016-17,468800,555330,Total General Fund,Total General Fund,17
Dundee City,2017-18,25194,29384,Adult Social Care,Care Homes for Older People,18
Dundee City,2017-18,19974,23296,Adult Social Care,Homecare,18
Dundee City,2017-18,61293,71487,Adult Social Care,Other Spend On Over 18s,18
Dundee City,2017-18,3056,3564,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,18
Dundee City,2017-18,4439,5177,Culture & Leisure,Libraries,18
Dundee City,2017-18,2646,3086,Culture & Leisure,Museums & Galleries,18
Dundee City,2017-18,3585,4181,Culture & Leisure,Sports Facilities,18
Dundee City,2017-18,11667,13607,Economic Development,Economic Development & Tourism,18
Dundee City,2017-18,12068,14075,Education,Pre-school,18
Dundee City,2017-18,51205,59721,Education,Primary,18
Dundee City,2017-18,51072,59566,Education,Secondary,18
Dundee City,2017-18,2390,2787,Environmental Services,Street cleaning,18
Dundee City,2017-18,3299,3848,Environmental Services,Trading Standards & Env. Health,18
Dundee City,2017-18,5787,6749,Environmental Services,Waste Collection,18
Dundee City,2017-18,8931,10416,Environmental Services,Waste Disposal,18
Dundee City,2017-18,13291,15501,Looked After Children,Community,18
Dundee City,2017-18,11717,13666,Looked After Children,Residential,18
Dundee City,2017-18,1909,2226,Planning,Planning,18
Dundee City,2017-18,11526,13443,Roads,Roads,18
Dundee City,2017-18,16158,18845,Support Services,Support Services,18
Dundee City,2017-18,476592,555855,Total General Fund,Total General Fund,18
Dundee City,2018-19,24936,28482,Adult Social Care,Care Homes for Older People,19
Dundee City,2018-19,20968,23950,Adult Social Care,Homecare,19
Dundee City,2018-19,66076,75473,Adult Social Care,Other Spend On Over 18s,19
Dundee City,2018-19,3515,4015,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,19
Dundee City,2018-19,3870,4420,Culture & Leisure,Libraries,19
Dundee City,2018-19,2688,3070,Culture & Leisure,Museums & Galleries,19
Dundee City,2018-19,3525,4026,Culture & Leisure,Sports Facilities,19
Dundee City,2018-19,9116,10412,Economic Development,Economic Development & Tourism,19
Dundee City,2018-19,14078,16080,Education,Pre-school,19
Dundee City,2018-19,53612,61237,Education,Primary,19
Dundee City,2018-19,52790,60298,Education,Secondary,19
Dundee City,2018-19,2311,2640,Environmental Services,Street cleaning,19
Dundee City,2018-19,3172,3623,Environmental Services,Trading Standards & Env. Health,19
Dundee City,2018-19,5850,6682,Environmental Services,Waste Collection,19
Dundee City,2018-19,7670,8761,Environmental Services,Waste Disposal,19
Dundee City,2018-19,13259,15145,Looked After Children,Community,19
Dundee City,2018-19,11523,13162,Looked After Children,Residential,19
Dundee City,2018-19,1889,2158,Planning,Planning,19
Dundee City,2018-19,11280,12884,Roads,Roads,19
Dundee City,2018-19,17111,19544,Support Services,Support Services,19
Dundee City,2018-19,480832,549215,Total General Fund,Total General Fund,19
Dundee City,2019-20,25928.0643530594,28932,Adult Social Care,Care Homes for Older People,20
Dundee City,2019-20,21859,24392,Adult Social Care,Homecare,20
Dundee City,2019-20,67179.9356469405,74964,Adult Social Care,Other Spend On Over 18s,20
Dundee City,2019-20,3452,3852,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,20
Dundee City,2019-20,3760,4196,Culture & Leisure,Libraries,20
Dundee City,2019-20,2284,2549,Culture & Leisure,Museums & Galleries,20
Dundee City,2019-20,4108,4584,Culture & Leisure,Sports Facilities,20
Dundee City,2019-20,8949,9986,Economic Development,Economic Development & Tourism,20
Dundee City,2019-20,17409,19426,Education,Pre-school,20
Dundee City,2019-20,55055,61434,Education,Primary,20
Dundee City,2019-20,54973,61343,Education,Secondary,20
Dundee City,2019-20,2254,2515,Environmental Services,Street cleaning,20
Dundee City,2019-20,4087,4561,Environmental Services,Trading Standards & Env. Health,20
Dundee City,2019-20,5763,6431,Environmental Services,Waste Collection,20
Dundee City,2019-20,6947,7752,Environmental Services,Waste Disposal,20
Dundee City,2019-20,11721,13079,Looked After Children,Community,20
Dundee City,2019-20,12037,13432,Looked After Children,Residential,20
Dundee City,2019-20,1748,1951,Planning,Planning,20
Dundee City,2019-20,10641,11874,Roads,Roads,20
Dundee City,2019-20,16794,18740,Support Services,Support Services,20
Dundee City,2019-20,485952,542260,Total General Fund,Total General Fund,20
Dundee City,2020-21,29173.6299007678,31815,Adult Social Care,Care Homes for Older People,21
Dundee City,2020-21,24186,26376,Adult Social Care,Homecare,21
Dundee City,2020-21,72998.3700992322,79607,Adult Social Care,Other Spend On Over 18s,21
Dundee City,2020-21,3558,3880,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,21
Dundee City,2020-21,3644,3974,Culture & Leisure,Libraries,21
Dundee City,2020-21,2286,2493,Culture & Leisure,Museums & Galleries,21
Dundee City,2020-21,3776,4118,Culture & Leisure,Sports Facilities,21
Dundee City,2020-21,17640,19237,Economic Development,Economic Development & Tourism,21
Dundee City,2020-21,22779,24841,Education,Pre-school,21
Dundee City,2020-21,59362,64736,Education,Primary,21
Dundee City,2020-21,55831,60885,Education,Secondary,21
Dundee City,2020-21,2198,2397,Environmental Services,Street cleaning,21
Dundee City,2020-21,3961,4320,Environmental Services,Trading Standards & Env. Health,21
Dundee City,2020-21,5956,6495,Environmental Services,Waste Collection,21
Dundee City,2020-21,7540,8223,Environmental Services,Waste Disposal,21
Dundee City,2020-21,12243,13351,Looked After Children,Community,21
Dundee City,2020-21,12662,13808,Looked After Children,Residential,21
Dundee City,2020-21,1761,1920,Planning,Planning,21
Dundee City,2020-21,9986,10890,Roads,Roads,21
Dundee City,2020-21,16865,18392,Support Services,Support Services,21
Dundee City,2020-21,514510,561089,Total General Fund,Total General Fund,21
Dundee City,2021-22,30399,32398,Adult Social Care,Care Homes for Older People,22
Dundee City,2021-22,29004,30911,Adult Social Care,Homecare,22
Dundee City,2021-22,70386,75015,Adult Social Care,Other Spend On Over 18s,22
Dundee City,2021-22,3832,4084,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,22
Dundee City,2021-22,4149,4422,Culture & Leisure,Libraries,22
Dundee City,2021-22,2477,2640,Culture & Leisure,Museums & Galleries,22
Dundee City,2021-22,6278,6691,Culture & Leisure,Sports Facilities,22
Dundee City,2021-22,10910,11627,Economic Development,Economic Development & Tourism,22
Dundee City,2021-22,26159,27879,Education,Pre-school,22
Dundee City,2021-22,63173,67328,Education,Primary,22
Dundee City,2021-22,59672,63596,Education,Secondary,22
Dundee City,2021-22,2381,2538,Environmental Services,Street cleaning,22
Dundee City,2021-22,3475,3704,Environmental Services,Trading Standards & Env. Health,22
Dundee City,2021-22,6566,6998,Environmental Services,Waste Collection,22
Dundee City,2021-22,4249,4528,Environmental Services,Waste Disposal,22
Dundee City,2021-22,10897,11614,Looked After Children,Community,22
Dundee City,2021-22,12567,13393,Looked After Children,Residential,22
Dundee City,2021-22,2272,2421,Planning,Planning,22
Dundee City,2021-22,9292,9903,Roads,Roads,22
Dundee City,2021-22,16600,17692,Support Services,Support Services,22
Dundee City,2021-22,525586,560151,Total General Fund,Total General Fund,22
Dundee City,2022-23,32632,32632,Adult Social Care,Care Homes for Older People,23
Dundee City,2022-23,25636,25636,Adult Social Care,Homecare,23
Dundee City,2022-23,85663,85663,Adult Social Care,Other Spend On Over 18s,23
Dundee City,2022-23,4272,4272,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,23
Dundee City,2022-23,3881,3881,Culture & Leisure,Libraries,23
Dundee City,2022-23,2472,2472,Culture & Leisure,Museums & Galleries,23
Dundee City,2022-23,5500,5500,Culture & Leisure,Sports Facilities,23
Dundee City,2022-23,13505,13505,Economic Development,Economic Development & Tourism,23
Dundee City,2022-23,27236,27236,Education,Pre-school,23
Dundee City,2022-23,68385,68385,Education,Primary,23
Dundee City,2022-23,65940,65940,Education,Secondary,23
Dundee City,2022-23,2567,2567,Environmental Services,Street cleaning,23
Dundee City,2022-23,3450,3450,Environmental Services,Trading Standards & Env. Health,23
Dundee City,2022-23,6957,6957,Environmental Services,Waste Collection,23
Dundee City,2022-23,2161,2161,Environmental Services,Waste Disposal,23
Dundee City,2022-23,12725,12725,Looked After Children,Community,23
Dundee City,2022-23,15377,15377,Looked After Children,Residential,23
Dundee City,2022-23,2724,2724,Planning,Planning,23
Dundee City,2022-23,9266,9266,Roads,Roads,23
Dundee City,2022-23,17007,17007,Support Services,Support Services,23
Dundee City,2022-23,565299,565299,Total General Fund,Total General Fund,23
East Ayrshire,2010-11,21736,28355,Adult Social Care,Care Homes for Older People,11
East Ayrshire,2010-11,11193,14602,Adult Social Care,Homecare,11
East Ayrshire,2010-11,24847,32414,Adult Social Care,Other Spend On Over 18s,11
East Ayrshire,2010-11,1697,2214,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,11
East Ayrshire,2010-11,2091,2728,Culture & Leisure,Libraries,11
East Ayrshire,2010-11,974,1271,Culture & Leisure,Museums & Galleries,11
East Ayrshire,2010-11,4058,5294,Culture & Leisure,Sports Facilities,11
East Ayrshire,2010-11,7371,9616,Economic Development,Economic Development & Tourism,11
East Ayrshire,2010-11,9649,12587,Education,Pre-school,11
East Ayrshire,2010-11,41181,53722,Education,Primary,11
East Ayrshire,2010-11,47681,62201,Education,Secondary,11
East Ayrshire,2010-11,1903,2483,Environmental Services,Street cleaning,11
East Ayrshire,2010-11,2485,3242,Environmental Services,Trading Standards & Env. Health,11
East Ayrshire,2010-11,4432,5782,Environmental Services,Waste Collection,11
East Ayrshire,2010-11,3847,5019,Environmental Services,Waste Disposal,11
East Ayrshire,2010-11,5158,6729,Looked After Children,Community,11
East Ayrshire,2010-11,5002,6525,Looked After Children,Residential,11
East Ayrshire,2010-11,2529,3299,Planning,Planning,11
East Ayrshire,2010-11,10353,13506,Roads,Roads,11
East Ayrshire,2010-11,13298,17348,Support Services,Support Services,11
East Ayrshire,2010-11,315887,412083,Total General Fund,Total General Fund,11
East Ayrshire,2011-12,20209,25907,Adult Social Care,Care Homes for Older People,12
East Ayrshire,2011-12,10215,13095,Adult Social Care,Homecare,12
East Ayrshire,2011-12,26648,34161,Adult Social Care,Other Spend On Over 18s,12
East Ayrshire,2011-12,1023,1311,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,12
East Ayrshire,2011-12,2787,3573,Culture & Leisure,Libraries,12
East Ayrshire,2011-12,1237,1586,Culture & Leisure,Museums & Galleries,12
East Ayrshire,2011-12,2681,3437,Culture & Leisure,Sports Facilities,12
East Ayrshire,2011-12,4709,6037,Economic Development,Economic Development & Tourism,12
East Ayrshire,2011-12,8086,10366,Education,Pre-school,12
East Ayrshire,2011-12,38634,49526,Education,Primary,12
East Ayrshire,2011-12,45071,57778,Education,Secondary,12
East Ayrshire,2011-12,1910,2448,Environmental Services,Street cleaning,12
East Ayrshire,2011-12,2316,2969,Environmental Services,Trading Standards & Env. Health,12
East Ayrshire,2011-12,3659,4691,Environmental Services,Waste Collection,12
East Ayrshire,2011-12,4773,6119,Environmental Services,Waste Disposal,12
East Ayrshire,2011-12,5014,6428,Looked After Children,Community,12
East Ayrshire,2011-12,6913,8862,Looked After Children,Residential,12
East Ayrshire,2011-12,2609,3345,Planning,Planning,12
East Ayrshire,2011-12,12505,16031,Roads,Roads,12
East Ayrshire,2011-12,13996,17942,Support Services,Support Services,12
East Ayrshire,2011-12,312475,400573,Total General Fund,Total General Fund,12
East Ayrshire,2012-13,20096,25297,Adult Social Care,Care Homes for Older People,13
East Ayrshire,2012-13,11228,14134,Adult Social Care,Homecare,13
East Ayrshire,2012-13,31535,39697,Adult Social Care,Other Spend On Over 18s,13
East Ayrshire,2012-13,1326,1669,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,13
East Ayrshire,2012-13,2507,3156,Culture & Leisure,Libraries,13
East Ayrshire,2012-13,1117,1406,Culture & Leisure,Museums & Galleries,13
East Ayrshire,2012-13,3114,3920,Culture & Leisure,Sports Facilities,13
East Ayrshire,2012-13,3721,4684,Economic Development,Economic Development & Tourism,13
East Ayrshire,2012-13,8544,10755,Education,Pre-school,13
East Ayrshire,2012-13,39863,50181,Education,Primary,13
East Ayrshire,2012-13,46745,58844,Education,Secondary,13
East Ayrshire,2012-13,1802,2268,Environmental Services,Street cleaning,13
East Ayrshire,2012-13,2009,2529,Environmental Services,Trading Standards & Env. Health,13
East Ayrshire,2012-13,3529,4442,Environmental Services,Waste Collection,13
East Ayrshire,2012-13,5289,6658,Environmental Services,Waste Disposal,13
East Ayrshire,2012-13,5507,6932,Looked After Children,Community,13
East Ayrshire,2012-13,6447,8116,Looked After Children,Residential,13
East Ayrshire,2012-13,2427,3055,Planning,Planning,13
East Ayrshire,2012-13,10130,12752,Roads,Roads,13
East Ayrshire,2012-13,14520,18278,Support Services,Support Services,13
East Ayrshire,2012-13,319226,401851,Total General Fund,Total General Fund,13
East Ayrshire,2013-14,19475,24053,Adult Social Care,Care Homes for Older People,14
East Ayrshire,2013-14,12174,15036,Adult Social Care,Homecare,14
East Ayrshire,2013-14,34517,42631,Adult Social Care,Other Spend On Over 18s,14
East Ayrshire,2013-14,1051,1298,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,14
East Ayrshire,2013-14,2585,3193,Culture & Leisure,Libraries,14
East Ayrshire,2013-14,1180,1457,Culture & Leisure,Museums & Galleries,14
East Ayrshire,2013-14,1590,1964,Culture & Leisure,Sports Facilities,14
East Ayrshire,2013-14,4320,5336,Economic Development,Economic Development & Tourism,14
East Ayrshire,2013-14,8307,10260,Education,Pre-school,14
East Ayrshire,2013-14,40390,49885,Education,Primary,14
East Ayrshire,2013-14,46953,57991,Education,Secondary,14
East Ayrshire,2013-14,1718,2122,Environmental Services,Street cleaning,14
East Ayrshire,2013-14,2141,2644,Environmental Services,Trading Standards & Env. Health,14
East Ayrshire,2013-14,4424,5464,Environmental Services,Waste Collection,14
East Ayrshire,2013-14,4881,6028,Environmental Services,Waste Disposal,14
East Ayrshire,2013-14,5820,7188,Looked After Children,Community,14
East Ayrshire,2013-14,7265,8973,Looked After Children,Residential,14
East Ayrshire,2013-14,2323,2869,Planning,Planning,14
East Ayrshire,2013-14,10305,12728,Roads,Roads,14
East Ayrshire,2013-14,13457,16620,Support Services,Support Services,14
East Ayrshire,2013-14,326998,403869,Total General Fund,Total General Fund,14
East Ayrshire,2014-15,19933,24323,Adult Social Care,Care Homes for Older People,15
East Ayrshire,2014-15,12254,14953,Adult Social Care,Homecare,15
East Ayrshire,2014-15,31795,38797,Adult Social Care,Other Spend On Over 18s,15
East Ayrshire,2014-15,726,886,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,15
East Ayrshire,2014-15,2231,2722,Culture & Leisure,Libraries,15
East Ayrshire,2014-15,865,1056,Culture & Leisure,Museums & Galleries,15
East Ayrshire,2014-15,1028,1254,Culture & Leisure,Sports Facilities,15
East Ayrshire,2014-15,4733,5775,Economic Development,Economic Development & Tourism,15
East Ayrshire,2014-15,8765,10695,Education,Pre-school,15
East Ayrshire,2014-15,40726,49695,Education,Primary,15
East Ayrshire,2014-15,45657,55712,Education,Secondary,15
East Ayrshire,2014-15,1519,1854,Environmental Services,Street cleaning,15
East Ayrshire,2014-15,2231,2722,Environmental Services,Trading Standards & Env. Health,15
East Ayrshire,2014-15,4225,5156,Environmental Services,Waste Collection,15
East Ayrshire,2014-15,4830,5894,Environmental Services,Waste Disposal,15
East Ayrshire,2014-15,5691,6944,Looked After Children,Community,15
East Ayrshire,2014-15,6838,8344,Looked After Children,Residential,15
East Ayrshire,2014-15,2447,2986,Planning,Planning,15
East Ayrshire,2014-15,8935,10903,Roads,Roads,15
East Ayrshire,2014-15,13361,16304,Support Services,Support Services,15
East Ayrshire,2014-15,334097,407677,Total General Fund,Total General Fund,15
East Ayrshire,2015-16,20606,24965,Adult Social Care,Care Homes for Older People,16
East Ayrshire,2015-16,12804,15512,Adult Social Care,Homecare,16
East Ayrshire,2015-16,33043,40032,Adult Social Care,Other Spend On Over 18s,16
East Ayrshire,2015-16,705,854,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,16
East Ayrshire,2015-16,2122,2571,Culture & Leisure,Libraries,16
East Ayrshire,2015-16,862,1044,Culture & Leisure,Museums & Galleries,16
East Ayrshire,2015-16,956,1158,Culture & Leisure,Sports Facilities,16
East Ayrshire,2015-16,3685,4464,Economic Development,Economic Development & Tourism,16
East Ayrshire,2015-16,9626,11662,Education,Pre-school,16
East Ayrshire,2015-16,43827,53097,Education,Primary,16
East Ayrshire,2015-16,44688,54140,Education,Secondary,16
East Ayrshire,2015-16,1297,1571,Environmental Services,Street cleaning,16
East Ayrshire,2015-16,1779,2155,Environmental Services,Trading Standards & Env. Health,16
East Ayrshire,2015-16,4862,5890,Environmental Services,Waste Collection,16
East Ayrshire,2015-16,4708,5704,Environmental Services,Waste Disposal,16
East Ayrshire,2015-16,5564,6741,Looked After Children,Community,16
East Ayrshire,2015-16,6635,8038,Looked After Children,Residential,16
East Ayrshire,2015-16,2745,3326,Planning,Planning,16
East Ayrshire,2015-16,12082,14638,Roads,Roads,16
East Ayrshire,2015-16,13963,16916,Support Services,Support Services,16
East Ayrshire,2015-16,345007,417983,Total General Fund,Total General Fund,16
East Ayrshire,2016-17,15867,18796,Adult Social Care,Care Homes for Older People,17
East Ayrshire,2016-17,14098,16700,Adult Social Care,Homecare,17
East Ayrshire,2016-17,34961,41414,Adult Social Care,Other Spend On Over 18s,17
East Ayrshire,2016-17,860,1019,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,17
East Ayrshire,2016-17,1545,1830,Culture & Leisure,Libraries,17
East Ayrshire,2016-17,838,993,Culture & Leisure,Museums & Galleries,17
East Ayrshire,2016-17,1190,1410,Culture & Leisure,Sports Facilities,17
East Ayrshire,2016-17,4011,4751,Economic Development,Economic Development & Tourism,17
East Ayrshire,2016-17,10341,12250,Education,Pre-school,17
East Ayrshire,2016-17,46517,55103,Education,Primary,17
East Ayrshire,2016-17,45707,54143,Education,Secondary,17
East Ayrshire,2016-17,1319,1562,Environmental Services,Street cleaning,17
East Ayrshire,2016-17,2178,2580,Environmental Services,Trading Standards & Env. Health,17
East Ayrshire,2016-17,4495,5325,Environmental Services,Waste Collection,17
East Ayrshire,2016-17,4711,5581,Environmental Services,Waste Disposal,17
East Ayrshire,2016-17,6181,7322,Looked After Children,Community,17
East Ayrshire,2016-17,7858,9308,Looked After Children,Residential,17
East Ayrshire,2016-17,2803,3320,Planning,Planning,17
East Ayrshire,2016-17,10301,12202,Roads,Roads,17
East Ayrshire,2016-17,12852,15224,Support Services,Support Services,17
East Ayrshire,2016-17,351865,416811,Total General Fund,Total General Fund,17
East Ayrshire,2017-18,16361,19082,Adult Social Care,Care Homes for Older People,18
East Ayrshire,2017-18,14025,16358,Adult Social Care,Homecare,18
East Ayrshire,2017-18,36359,42406,Adult Social Care,Other Spend On Over 18s,18
East Ayrshire,2017-18,685,799,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,18
East Ayrshire,2017-18,1512,1763,Culture & Leisure,Libraries,18
East Ayrshire,2017-18,805,939,Culture & Leisure,Museums & Galleries,18
East Ayrshire,2017-18,1174,1369,Culture & Leisure,Sports Facilities,18
East Ayrshire,2017-18,6095,7109,Economic Development,Economic Development & Tourism,18
East Ayrshire,2017-18,11338,13224,Education,Pre-school,18
East Ayrshire,2017-18,47433,55322,Education,Primary,18
East Ayrshire,2017-18,47055,54881,Education,Secondary,18
East Ayrshire,2017-18,1349,1573,Environmental Services,Street cleaning,18
East Ayrshire,2017-18,2084,2431,Environmental Services,Trading Standards & Env. Health,18
East Ayrshire,2017-18,6187,7216,Environmental Services,Waste Collection,18
East Ayrshire,2017-18,5214,6081,Environmental Services,Waste Disposal,18
East Ayrshire,2017-18,5972,6965,Looked After Children,Community,18
East Ayrshire,2017-18,9007,10505,Looked After Children,Residential,18
East Ayrshire,2017-18,2855,3330,Planning,Planning,18
East Ayrshire,2017-18,10305,12019,Roads,Roads,18
East Ayrshire,2017-18,10996,12825,Support Services,Support Services,18
East Ayrshire,2017-18,373369,435464,Total General Fund,Total General Fund,18
East Ayrshire,2018-19,15749,17989,Adult Social Care,Care Homes for Older People,19
East Ayrshire,2018-19,14571,16643,Adult Social Care,Homecare,19
East Ayrshire,2018-19,39037,44589,Adult Social Care,Other Spend On Over 18s,19
East Ayrshire,2018-19,1094,1250,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,19
East Ayrshire,2018-19,1593,1820,Culture & Leisure,Libraries,19
East Ayrshire,2018-19,728,832,Culture & Leisure,Museums & Galleries,19
East Ayrshire,2018-19,741,846,Culture & Leisure,Sports Facilities,19
East Ayrshire,2018-19,5212,5953,Economic Development,Economic Development & Tourism,19
East Ayrshire,2018-19,13401,15307,Education,Pre-school,19
East Ayrshire,2018-19,50553,57743,Education,Primary,19
East Ayrshire,2018-19,48514,55414,Education,Secondary,19
East Ayrshire,2018-19,1349,1541,Environmental Services,Street cleaning,19
East Ayrshire,2018-19,1824,2083,Environmental Services,Trading Standards & Env. Health,19
East Ayrshire,2018-19,4503,5143,Environmental Services,Waste Collection,19
East Ayrshire,2018-19,5047,5765,Environmental Services,Waste Disposal,19
East Ayrshire,2018-19,5513,6297,Looked After Children,Community,19
East Ayrshire,2018-19,6658,7605,Looked After Children,Residential,19
East Ayrshire,2018-19,2897,3309,Planning,Planning,19
East Ayrshire,2018-19,13216,15096,Roads,Roads,19
East Ayrshire,2018-19,11779,13454,Support Services,Support Services,19
East Ayrshire,2018-19,361753,413201,Total General Fund,Total General Fund,19
East Ayrshire,2019-20,16775.2366630798,18719,Adult Social Care,Care Homes for Older People,20
East Ayrshire,2019-20,14991,16728,Adult Social Care,Homecare,20
East Ayrshire,2019-20,40635.7633369202,45344,Adult Social Care,Other Spend On Over 18s,20
East Ayrshire,2019-20,2365,2639,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,20
East Ayrshire,2019-20,1682,1877,Culture & Leisure,Libraries,20
East Ayrshire,2019-20,740,826,Culture & Leisure,Museums & Galleries,20
East Ayrshire,2019-20,703,784,Culture & Leisure,Sports Facilities,20
East Ayrshire,2019-20,7895,8810,Economic Development,Economic Development & Tourism,20
East Ayrshire,2019-20,19084,21295,Education,Pre-school,20
East Ayrshire,2019-20,51375,57328,Education,Primary,20
East Ayrshire,2019-20,49655,55409,Education,Secondary,20
East Ayrshire,2019-20,1239,1383,Environmental Services,Street cleaning,20
East Ayrshire,2019-20,1824,2035,Environmental Services,Trading Standards & Env. Health,20
East Ayrshire,2019-20,4383,4891,Environmental Services,Waste Collection,20
East Ayrshire,2019-20,5202,5805,Environmental Services,Waste Disposal,20
East Ayrshire,2019-20,5669,6326,Looked After Children,Community,20
East Ayrshire,2019-20,7172,8003,Looked After Children,Residential,20
East Ayrshire,2019-20,2802,3127,Planning,Planning,20
East Ayrshire,2019-20,12105,13508,Roads,Roads,20
East Ayrshire,2019-20,12142,13549,Support Services,Support Services,20
East Ayrshire,2019-20,357253,398649,Total General Fund,Total General Fund,20
East Ayrshire,2020-21,21907.4867416744,23891,Adult Social Care,Care Homes for Older People,21
East Ayrshire,2020-21,16668,18177,Adult Social Care,Homecare,21
East Ayrshire,2020-21,48139.5132583256,52498,Adult Social Care,Other Spend On Over 18s,21
East Ayrshire,2020-21,543,592,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,21
East Ayrshire,2020-21,1196,1304,Culture & Leisure,Libraries,21
East Ayrshire,2020-21,341,372,Culture & Leisure,Museums & Galleries,21
East Ayrshire,2020-21,1349,1471,Culture & Leisure,Sports Facilities,21
East Ayrshire,2020-21,9308,10151,Economic Development,Economic Development & Tourism,21
East Ayrshire,2020-21,21939,23925,Education,Pre-school,21
East Ayrshire,2020-21,54535,59472,Education,Primary,21
East Ayrshire,2020-21,51875,56571,Education,Secondary,21
East Ayrshire,2020-21,1087,1185,Environmental Services,Street cleaning,21
East Ayrshire,2020-21,1913,2086,Environmental Services,Trading Standards & Env. Health,21
East Ayrshire,2020-21,4872,5313,Environmental Services,Waste Collection,21
East Ayrshire,2020-21,5224,5697,Environmental Services,Waste Disposal,21
East Ayrshire,2020-21,6127,6682,Looked After Children,Community,21
East Ayrshire,2020-21,8071,8802,Looked After Children,Residential,21
East Ayrshire,2020-21,3362,3666,Planning,Planning,21
East Ayrshire,2020-21,13447,14664,Roads,Roads,21
East Ayrshire,2020-21,12178,13280,Support Services,Support Services,21
