Expenditure_Data_Local_Authority,Expenditure_Data_Year,Expenditure_Data_Expenditure_Cash,Expenditure_Data_Expenditure_Real,Expenditure_Data_ServiceAreaAggregate,Expenditure_Data_ServiceAreaBreakdown,Expenditure_Data_YearIndex
Aberdeen City,2014-15,4813,5873,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,15
Aberdeen City,2014-15,4288,5232,Culture & Leisure,Libraries,15
Aberdeen City,2014-15,3207,3913,Culture & Leisure,Museums & Galleries,15
Aberdeen City,2014-15,8265,10085,Culture & Leisure,Sports Facilities,15
Aberdeen City,2014-15,10344,12622,Economic Development,Economic Development & Tourism,15
Aberdeen City,2014-15,13845,16894,Education,Pre-school,15
Aberdeen City,2014-15,68043,83029,Education,Primary,15
Aberdeen City,2014-15,64722,78976,Education,Secondary,15
Aberdeen City,2014-15,1793,2188,Environmental Services,Street cleaning,15
Aberdeen City,2014-15,5692,6946,Environmental Services,Trading Standards & Env. Health,15
Aberdeen City,2014-15,8178,9979,Environmental Services,Waste Collection,15
Aberdeen City,2014-15,14773,18027,Environmental Services,Waste Disposal,15
Aberdeen City,2014-15,10694,13049,Looked After Children,Community,15
Aberdeen City,2014-15,9487,11576,Looked After Children,Residential,15
Aberdeen City,2014-15,3518,4293,Planning,Planning,15
Aberdeen City,2014-15,35899,43805,Roads,Roads,15
Aberdeen City,2014-15,23348,28490,Support Services,Support Services,15
Aberdeen City,2014-15,564607,688954,Total General Fund,Total General Fund,15
Aberdeen City,2015-16,30664,37150,Adult Social Care,Care Homes for Older People,16
Aberdeen City,2015-16,22064,26731,Adult Social Care,Homecare,16
Aberdeen City,2015-16,72552,87898,Adult Social Care,Other Spend On Over 18s,16
Aberdeen City,2015-16,4976,6029,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,16
Aberdeen City,2015-16,4264,5166,Culture & Leisure,Libraries,16
Aberdeen City,2015-16,3033,3675,Culture & Leisure,Museums & Galleries,16
Aberdeen City,2015-16,8648,10477,Culture & Leisure,Sports Facilities,16
