LocalAuthority,Code,Year,Indicator,Numerator,Denominator
East Lothian,FINSUS03,2017-18,0.0841,,
East Lothian,FINSUS03,2018-19,0.0694,,
East Lothian,FINSUS03,2019-20,0.0603,,
East Lothian,FINSUS03,2020-21,0.0562,,
East Lothian,FINSUS03,2021-22,0.0411,,
East Lothian,FINSUS04,2013-14,0.2698,,
East Lothian,FINSUS04,2014-15,0.3042,,
East Lothian,FINSUS04,2015-16,0.3321,,
East Lothian,FINSUS04,2016-17,0.3436,,
East Lothian,FINSUS04,2017-18,0.3216,,
East Lothian,FINSUS04,2018-19,0.2984,,
East Lothian,FINSUS04,2019-20,0.3192,,
East Lothian,FINSUS04,2020-21,0.2856,,
East Lothian,FINSUS04,2021-22,0.2899,,
East Lothian,FINSUS05,2013-14,0.9849,200862,203939
East Lothian,FINSUS05,2014-15,0.9918,205963,207675
East Lothian,FINSUS05,2015-16,0.9784,231846,236973
East Lothian,FINSUS05,2016-17,1.0113,227343,224808
East Lothian,FINSUS05,2017-18,1.0055,241777,240443
East Lothian,FINSUS05,2018-19,0.9878,237127,240055
East Lothian,FINSUS05,2019-20,1.0131,225808,222892
East Lothian,FINSUS05,2020-21,0.948,231074,243755
East Lothian,FINSUS05,2021-22,0.9947,278516,280006
East Lothian,HSN01b,2013-14,0.0926,2073833,22392851
East Lothian,HSN01b,2014-15,0.091,2132813,23444073
East Lothian,HSN01b,2015-16,0.0862,2114298,24521818
East Lothian,HSN01b,2016-17,0.0936,2418533,25830971
East Lothian,HSN01b,2017-18,0.09283454,2508915,27025663
East Lothian,HSN01b,2018-19,0.07491685,2152638,28733696
East Lothian,HSN01b,2019-20,0.062873453,1874929,29820678
East Lothian,HSN01b,2020-21,0.058685452,1846458,31463641
East Lothian,HSN01b,2021-22,0.048611454,1546492,31813325
East Lothian,HSN01b,2022-23,0.057942242,1868631,32249891
East Lothian,HSN02,2013-14,0.0106,236809,22392851
East Lothian,HSN02,2014-15,0.0111,260121,23444073
East Lothian,HSN02,2015-16,0.0055,135911,24521818
East Lothian,HSN02,2016-17,0.0074,192245,25830971
East Lothian,HSN02,2017-18,0.008151955,220312,27025663
East Lothian,HSN02,2018-19,0.01188782,341581,28733696
East Lothian,HSN02,2019-20,0.005264736,156998,29820678
East Lothian,HSN02,2020-21,0.00644741,202859,31463641
East Lothian,HSN02,2021-22,0.010419753,331487,31813325
East Lothian,HSN02,2022-23,0.010881959,350942,32249891
East Lothian,HSN03,2013-14,0.7139,6099,8543
East Lothian,HSN03,2014-15,0.816,7016,8598
East Lothian,HSN03,2015-16,0.9197,7936,8629
East Lothian,HSN03,2016-17,0.9598,8290,8637
East Lothian,HSN03,2017-18,0.966152429,8392,8686
East Lothian,HSN03,2018-19,0.966884382,8438,8727
East Lothian,HSN03,2019-20,0.974507138,8601,8826
East Lothian,HSN03,2020-21,0.975979347,8695,8909
East Lothian,HSN03,2021-22,0.63106364,5672,8988
East Lothian,HSN03,2022-23,0.8694411,7918,9107
East Lothian,HSN04b,2013-14,17.41,349634,20079
East Lothian,HSN04b,2014-15,14.81,243578,16448
East Lothian,HSN04b,2015-16,13.75,209888,15262
East Lothian,HSN04b,2016-17,12.75,163628,12838
East Lothian,HSN04b,2017-18,7.156773128,129967,18160
East Lothian,HSN04b,2018-19,8.975660675,176273,19639
East Lothian,HSN04b,2019-20,7.234890182,138020,19077
East Lothian,HSN04b,2020-21,8.230624631,153246,18619
East Lothian,HSN04b,2021-22,9.819797904,209908,21376
East Lothian,HSN04b,2022-23,9.182728843,186088,20265
East Lothian,HSN05a,2015-16,0.3375,2912,8629
East Lothian,HSN05a,2016-17,0.3697,3196,8645
East Lothian,HSN05a,2017-18,0.5805,5042,8686
East Lothian,HSN05a,2018-19,0.5852,5107,8727
East Lothian,HSN05a,2019-20,0.828078929,7302,8818
East Lothian,HSN05a,2020-21,0.866314962,7718,8909
East Lothian,HSN05a,2021-22,0.902870494,8115,8988
East Lothian,SW01,2010-11,15.97,478686,7647
East Lothian,SW01,2011-12,14.92,552385.6,8244
East Lothian,SW01,2012-13,9.7,560009.84,5431
East Lothian,SW01,2013-14,13.01,587249,7638
East Lothian,SW01,2014-15,14.25,594005.36,8467
East Lothian,SW01,2015-16,15.41,555399,8558
East Lothian,SW01,2016-17,15.63,555278.88,8680
East Lothian,SW01,2017-18,16.75,536640,8991
East Lothian,SW01,2018-19,16.07,557492,8960
East Lothian,SW01,2019-20,16,530988.25,8498
East Lothian,SW01,2020-21,22.13,494208,10935
East Lothian,SW01,2021-22,21.52,473460,10191
East Lothian,SW02,2010-11,0.0335,1505,44911
East Lothian,SW02,2011-12,0.0439,2026,46180
East Lothian,SW02,2012-13,0.0293,1358,46301
East Lothian,SW02,2013-14,0.0413,2190,53068
East Lothian,SW02,2014-15,0.0365,1892,51799
East Lothian,SW02,2015-16,0.0367,2008,54793
East Lothian,SW02,2016-17,0.0438,2419,55230
East Lothian,SW02,2017-18,0.0388,2206,56877
East Lothian,SW02,2018-19,0.0436,2543,58338
East Lothian,SW02,2019-20,0.0717,4401,61365
East Lothian,SW02,2020-21,0.0767,5134,66970
East Lothian,SW02,2021-22,0.0798,5574,69815
East Lothian,SW03a,2010-11,0.600246002,,
East Lothian,SW03a,2011-12,0.606863335,,
East Lothian,SW03a,2012-13,0.628792385,,
East Lothian,SW03a,2013-14,0.630422209,,
East Lothian,SW03a,2014-15,0.645235362,,
East Lothian,SW03a,2015-16,0.633139535,,
East Lothian,SW03a,2016-17,0.635231317,,
East Lothian,SW03a,2017-18,0.639372822,,
East Lothian,SW03a,2018-19,0.600375235,,
East Lothian,SW03a,2019-20,0.589719829,,
East Lothian,SW03a,2020-21,0.589384519,,
East Lothian,SW03a,2021-22,0.574163536,,
East Lothian,SW03a,2022-23,0.548802947,,
East Lothian,SW04b,2013-14,0.877618,,
East Lothian,SW04b,2015-16,0.923907885,,
East Lothian,SW04b,2017-18,0.7489,,
East Lothian,SW04b,2019-20,0.70016,,
East Lothian,SW04b,2021-22,0.6308,,
East Lothian,SW04c,2013-14,0.819,,
East Lothian,SW04c,2015-16,0.8417,,
East Lothian,SW04c,2017-18,0.7159,,
East Lothian,SW04c,2019-20,0.71625,,
East Lothian,SW04c,2021-22,0.7212,,
East Lothian,SW04d,2013-14,0.8244,,
East Lothian,SW04d,2015-16,0.7948,,
East Lothian,SW04d,2017-18,0.6793,,
East Lothian,SW04d,2019-20,0.754872,,
East Lothian,SW04d,2021-22,0.6064,,
East Lothian,SW04e,2013-14,0.4372,,
East Lothian,SW04e,2015-16,0.4476,,
East Lothian,SW04e,2017-18,0.3603,,
East Lothian,SW04e,2019-20,0.326735,,
East Lothian,SW04e,2021-22,0.3076,,
East Lothian,SW05,2010-11,506.4423,15801,600
East Lothian,SW05,2011-12,395.5233,12546,610
East Lothian,SW05,2012-13,504.0119,15201,580
East Lothian,SW05,2013-14,410.1283,12796,600
East Lothian,SW05,2014-15,436.4035,12935,570
East Lothian,SW05,2015-16,429.2046,13168,590
East Lothian,SW05,2016-17,452.8515,13658,580
East Lothian,SW05,2017-18,521.4744,16270,600
East Lothian,SW05,2018-19,504.8865,16015,610
East Lothian,SW05,2019-20,476.2812,15479.1346,625
East Lothian,SW05,2020-21,576.401,17609.0482,587.5
East Lothian,SW05,2021-22,605.0419,18720,595
East Lothian,SW06,2010-11,93.19600499,1493,16020
East Lothian,SW06,2011-12,100.7719466,1684,16711
East Lothian,SW06,2012-13,90.9400545,1602,17616
East Lothian,SW06,2013-14,95.66141116,1711,17886
East Lothian,SW06,2014-15,96.29711998,1732,17986
East Lothian,SW06,2015-16,98.84124526,1851,18727
East Lothian,SW06,2016-17,100.1216052,1729,17269
East Lothian,SW06,2017-18,105.625391,1857,17581
East Lothian,SW06,2018-19,99.47302657,1831,18407
East Lothian,SW06,2019-20,101.9453998,1897,18608
East Lothian,SW06,2020-21,117.2465961,1705,14542
East Lothian,SW06,2021-22,104.1369472,1752,16824
East Lothian,SW06,2022-23,89.49346698,1500,16761
East Lothian,SW07,2011-12,0.75,,
East Lothian,SW07,2012-13,0.767857143,,
East Lothian,SW07,2013-14,0.769230769,,
East Lothian,SW07,2014-15,0.761904762,,
East Lothian,SW07,2015-16,0.76635514,,
East Lothian,SW07,2016-17,0.765765766,,
East Lothian,SW07,2017-18,0.85,,
East Lothian,SW07,2018-19,0.841666667,,
East Lothian,SW07,2019-20,0.847328244,,
East Lothian,SW07,2020-21,0.855,,
East Lothian,SW07,2021-22,0.770992366,,
East Lothian,SW07,2022-23,0.77,,
East Renfrewshire,C&L01,2010-11,5.02,3639,724197
East Renfrewshire,C&L01,2011-12,3.81,2746,720196
East Renfrewshire,C&L01,2012-13,4.17,2930,702916
East Renfrewshire,C&L01,2013-14,4.81,3035,630589
East Renfrewshire,C&L01,2014-15,4.71,3318,704423
East Renfrewshire,C&L01,2015-16,4.31,3431,795686
East Renfrewshire,C&L01,2016-17,3.85,3329,864329
East Renfrewshire,C&L01,2017-18,4.34,3958,911028
East Renfrewshire,C&L01,2018-19,4.14,3675,888134
East Renfrewshire,C&L01,2019-20,5.6,4478,799624
East Renfrewshire,C&L01,2020-21,96.92,3265,33689
East Renfrewshire,C&L01,2021-22,8.62,3133,363584
East Renfrewshire,C&L02,2010-11,4.56,2167,475599
East Renfrewshire,C&L02,2011-12,3.78,1818,481549
East Renfrewshire,C&L02,2012-13,3.66,1742,476265
East Renfrewshire,C&L02,2013-14,3.77,1618,429401
East Renfrewshire,C&L02,2014-15,3.47,1672,481432
East Renfrewshire,C&L02,2015-16,4.13,2387,578157
East Renfrewshire,C&L02,2016-17,1.82,1666,913728
East Renfrewshire,C&L02,2017-18,1.06,1385,1311419
East Renfrewshire,C&L02,2018-19,1.44,1650,1142557
East Renfrewshire,C&L02,2019-20,1.93,1654,857771
East Renfrewshire,C&L02,2020-21,17.17,2046,119129
East Renfrewshire,C&L02,2021-22,11.9,2284,191996
East Renfrewshire,C&L04,2010-11,18192.99,1629,89540
East Renfrewshire,C&L04,2011-12,16149.14,1451,89850
East Renfrewshire,C&L04,2012-13,13402.18,1220,91030
East Renfrewshire,C&L04,2013-14,20950.82,1917,91500
East Renfrewshire,C&L04,2014-15,17525.44,1619,92380
East Renfrewshire,C&L04,2015-16,17150.85,1594,92940
East Renfrewshire,C&L04,2016-17,15179.62,1424,93810
East Renfrewshire,C&L04,2017-18,17317.43,1641,94760
East Renfrewshire,C&L04,2018-19,23957.13,2280,95170
East Renfrewshire,C&L04,2019-20,16309.01,1558,95530
East Renfrewshire,C&L04,2020-21,13512.39,1298,96060
East Renfrewshire,C&L04,2021-22,6181.4,597,96580
East Renfrewshire,C&L05a,2010-14,0.861,,
East Renfrewshire,C&L05a,2012-15,0.83,,
East Renfrewshire,C&L05a,2013-16,0.763,,
East Renfrewshire,C&L05a,2014-17,0.693,,
East Renfrewshire,C&L05a,2015-18,0.683,,
East Renfrewshire,C&L05a,2016-19,0.713,,
East Renfrewshire,C&L05a,2017-20,0.753,,
East Renfrewshire,C&L05a,2018-21,0.776,,
East Renfrewshire,C&L05b,2010-14,0.897,,
East Renfrewshire,C&L05b,2012-15,0.89,,
East Renfrewshire,C&L05b,2013-16,0.887,,
East Renfrewshire,C&L05b,2014-17,0.857,,
East Renfrewshire,C&L05b,2015-18,0.857,,
East Renfrewshire,C&L05b,2016-19,0.872,,
East Renfrewshire,C&L05b,2017-20,0.905,,
East Renfrewshire,C&L05b,2018-21,0.939,,
East Renfrewshire,C&L05c,2010-14,0.765,,
East Renfrewshire,C&L05c,2012-15,0.757,,
East Renfrewshire,C&L05c,2013-16,0.677,,
East Renfrewshire,C&L05c,2014-17,0.55,,
East Renfrewshire,C&L05c,2015-18,0.473,,
East Renfrewshire,C&L05c,2016-19,0.459,,
East Renfrewshire,C&L05c,2017-20,0.509,,
East Renfrewshire,C&L05c,2018-21,0.599,,
East Renfrewshire,C&L05d,2010-14,0.814,,
East Renfrewshire,C&L05d,2012-15,0.787,,
East Renfrewshire,C&L05d,2013-16,0.727,,
East Renfrewshire,C&L05d,2014-17,0.66,,
East Renfrewshire,C&L05d,2015-18,0.653,,
East Renfrewshire,C&L05d,2016-19,0.643,,
East Renfrewshire,C&L05d,2017-20,0.673,,
East Renfrewshire,C&L05d,2018-21,0.729,,
East Renfrewshire,CHN01,2010-11,4381.34,35962,8208
East Renfrewshire,CHN01,2011-12,4535.87,36863,8127
East Renfrewshire,CHN01,2012-13,4611.82,37697,8174
East Renfrewshire,CHN01,2013-14,4544.5,37633,8281
East Renfrewshire,CHN01,2014-15,4535.95,38424,8471
East Renfrewshire,CHN01,2015-16,4476.05,38964,8705
East Renfrewshire,CHN01,2016-17,4529.09,40173,8870
East Renfrewshire,CHN01,2017-18,4662.07,42588,9135
East Renfrewshire,CHN01,2018-19,4881.12,45370,9295
East Renfrewshire,CHN01,2019-20,5263.68,49068,9322
East Renfrewshire,CHN01,2020-21,5552.05,51684,9309
East Renfrewshire,CHN01,2021-22,5888.24,55055,9350
East Renfrewshire,CHN02,2010-11,6120.96,48882,7986
East Renfrewshire,CHN02,2011-12,6281.58,50127,7980
East Renfrewshire,CHN02,2012-13,6414.04,50517,7876
East Renfrewshire,CHN02,2013-14,6336.14,49688,7842
East Renfrewshire,CHN02,2014-15,6395.78,50258,7858
East Renfrewshire,CHN02,2015-16,6452.91,50223,7783
East Renfrewshire,CHN02,2016-17,6558.02,51087,7790
East Renfrewshire,CHN02,2017-18,6620.82,51649,7801
East Renfrewshire,CHN02,2018-19,7004,54323,7756
East Renfrewshire,CHN02,2019-20,7313.7,57354,7842
East Renfrewshire,CHN02,2020-21,7601.21,60422,7949
East Renfrewshire,CHN02,2021-22,7943.29,63872,8041
East Renfrewshire,CHN03,2010-11,3911.83,6611,1690
East Renfrewshire,CHN03,2011-12,3926.19,6596,1680
East Renfrewshire,CHN03,2012-13,4235.11,6899,1629
East Renfrewshire,CHN03,2013-14,3945.93,7225,1831
East Renfrewshire,CHN03,2014-15,3885.76,7313,1882
East Renfrewshire,CHN03,2015-16,4575.77,7971,1742
East Renfrewshire,CHN03,2016-17,4989.43,9445,1893
East Renfrewshire,CHN03,2017-18,5243.72,9811,1871
East Renfrewshire,CHN03,2018-19,5994.22,11413,1904
East Renfrewshire,CHN03,2019-20,7004.32,12979,1853
East Renfrewshire,CHN03,2020-21,8659.3,16063,1855
East Renfrewshire,CHN03,2021-22,10268.59,19613,1910
East Renfrewshire,CHN04,2011-12,0.78,,
East Renfrewshire,CHN04,2012-13,0.76,,
East Renfrewshire,CHN04,2013-14,0.82,,
East Renfrewshire,CHN04,2014-15,0.82,,
East Renfrewshire,CHN04,2015-16,0.82,,
East Renfrewshire,CHN04,2016-17,0.85,,
East Renfrewshire,CHN04,2017-18,0.87,,
East Renfrewshire,CHN04,2018-19,0.86,,
East Renfrewshire,CHN04,2019-20,0.88,,
East Renfrewshire,CHN04,2020-21,0.9,,
East Renfrewshire,CHN04,2021-22,0.9,,
East Renfrewshire,CHN05,2011-12,0.52,,
East Renfrewshire,CHN05,2012-13,0.48,,
East Renfrewshire,CHN05,2013-14,0.58,,
East Renfrewshire,CHN05,2014-15,0.59,,
East Renfrewshire,CHN05,2015-16,0.62,,
East Renfrewshire,CHN05,2016-17,0.63,,
East Renfrewshire,CHN05,2017-18,0.63,,
East Renfrewshire,CHN05,2018-19,0.65,,
East Renfrewshire,CHN05,2019-20,0.69,,
East Renfrewshire,CHN05,2020-21,0.7,,
East Renfrewshire,CHN05,2021-22,0.69,,
East Renfrewshire,CHN06,2011-12,0.4,,
East Renfrewshire,CHN06,2012-13,0.49,,
East Renfrewshire,CHN06,2013-14,0.55,,
East Renfrewshire,CHN06,2014-15,0.59,,
East Renfrewshire,CHN06,2015-16,0.56,,
East Renfrewshire,CHN06,2016-17,0.56,,
East Renfrewshire,CHN06,2017-18,0.69,,
East Renfrewshire,CHN06,2018-19,0.69,,
East Renfrewshire,CHN06,2019-20,0.61,,
East Renfrewshire,CHN06,2020-21,0.79,,
East Renfrewshire,CHN06,2021-22,0.71,,
East Renfrewshire,CHN07,2011-12,0.18,,
East Renfrewshire,CHN07,2012-13,0.15,,
East Renfrewshire,CHN07,2013-14,0.2,,
East Renfrewshire,CHN07,2014-15,0.26,,
East Renfrewshire,CHN07,2015-16,0.25,,
East Renfrewshire,CHN07,2016-17,0.3,,
East Renfrewshire,CHN07,2017-18,0.37,,
East Renfrewshire,CHN07,2018-19,0.42,,
East Renfrewshire,CHN07,2019-20,0.42,,
East Renfrewshire,CHN07,2020-21,0.43,,
East Renfrewshire,CHN07,2021-22,0.45,,
East Renfrewshire,CHN08a,2010-11,4829.6704,1758,7
East Renfrewshire,CHN08a,2011-12,3009.6154,2191,14
East Renfrewshire,CHN08a,2012-13,5809.6154,3021,10
East Renfrewshire,CHN08a,2013-14,4356.5088,2945,13
East Renfrewshire,CHN08a,2014-15,6889.4231,2866,8
East Renfrewshire,CHN08a,2015-16,7775.641,2426,6
East Renfrewshire,CHN08a,2016-17,2982.6923,1551,10
East Renfrewshire,CHN08a,2017-18,3895.6044,1418,7
East Renfrewshire,CHN08a,2018-19,12307.6923,1280,2
East Renfrewshire,CHN08a,2019-20,4108.9744,1282,6
East Renfrewshire,CHN08a,2020-21,4790.8654,1993,8
East Renfrewshire,CHN08a,2021-22,7747.2527,2820,7
East Renfrewshire,CHN08b,2010-11,146.5202,1120,147
East Renfrewshire,CHN08b,2011-12,95.4327,794,160
East Renfrewshire,CHN08b,2012-13,107.9965,994,177
East Renfrewshire,CHN08b,2013-14,150.8785,1271,162
East Renfrewshire,CHN08b,2014-15,186.3156,1337,138
East Renfrewshire,CHN08b,2015-16,190.9119,1231,124
East Renfrewshire,CHN08b,2016-17,178.4687,993,107
East Renfrewshire,CHN08b,2017-18,205.1904,1099,103
East Renfrewshire,CHN08b,2018-19,216.5385,1126,100
East Renfrewshire,CHN08b,2019-20,225.1748,1288,110
East Renfrewshire,CHN08b,2020-21,357.1763,1523,82
East Renfrewshire,CHN08b,2021-22,404.7104,1873,89
East Renfrewshire,CHN09,2010-11,0.9545,,
East Renfrewshire,CHN09,2011-12,0.9195,,
East Renfrewshire,CHN09,2012-13,0.9465,,
East Renfrewshire,CHN09,2013-14,0.9257,,
East Renfrewshire,CHN09,2014-15,0.9452,,
East Renfrewshire,CHN09,2015-16,0.9538,,
East Renfrewshire,CHN09,2016-17,0.9145,,
East Renfrewshire,CHN09,2017-18,0.9364,,
East Renfrewshire,CHN09,2018-19,0.9804,,
East Renfrewshire,CHN09,2019-20,0.9483,,
East Renfrewshire,CHN09,2020-21,0.9111,,
East Renfrewshire,CHN09,2021-22,0.9271,,
East Renfrewshire,CHN10,2010-14,0.869666667,,
East Renfrewshire,CHN10,2012-15,0.86,,
East Renfrewshire,CHN10,2013-16,0.836666667,,
East Renfrewshire,CHN10,2014-17,0.806666667,,
East Renfrewshire,CHN10,2015-18,0.81,,
East Renfrewshire,CHN10,2016-19,0.819666667,,
East Renfrewshire,CHN10,2017-20,0.843,,
East Renfrewshire,CHN10,2018-21,0.869666667,,
East Renfrewshire,CHN11,2011-12,0.952416918,,
East Renfrewshire,CHN11,2012-13,0.957528958,,
East Renfrewshire,CHN11,2013-14,0.961222968,,
East Renfrewshire,CHN11,2014-15,0.966220971,,
East Renfrewshire,CHN11,2015-16,0.967048711,,
East Renfrewshire,CHN11,2016-17,0.962769918,,
East Renfrewshire,CHN11,2017-18,0.976676385,,
East Renfrewshire,CHN11,2018-19,0.974981046,,
East Renfrewshire,CHN11,2019-20,0.9623,,
East Renfrewshire,CHN11,2020-21,0.973969631,,
East Renfrewshire,CHN11,2021-22,0.984615385,,
East Renfrewshire,CHN12a,2011-12,1184.55,,
East Renfrewshire,CHN12a,2012-13,1155.29,,
East Renfrewshire,CHN12a,2013-14,1265.28,,
East Renfrewshire,CHN12a,2014-15,1297.14,,
East Renfrewshire,CHN12a,2015-16,1319.28,,
East Renfrewshire,CHN12a,2016-17,1352.79,,
East Renfrewshire,CHN12a,2017-18,1388.06,,
East Renfrewshire,CHN12a,2018-19,1354.86,,
East Renfrewshire,CHN12a,2019-20,1401.9,,
East Renfrewshire,CHN12a,2020-21,1482.09,,
East Renfrewshire,CHN12a,2021-22,1448.14,,
East Renfrewshire,CHN12b,2011-12,601,,
East Renfrewshire,CHN12b,2012-13,666,,
East Renfrewshire,CHN12b,2013-14,754,,
East Renfrewshire,CHN12b,2014-15,834,,
East Renfrewshire,CHN12b,2015-16,808,,
East Renfrewshire,CHN12b,2016-17,844,,
East Renfrewshire,CHN12b,2017-18,972,,
East Renfrewshire,CHN12b,2018-19,1039,,
East Renfrewshire,CHN12b,2019-20,971,,
East Renfrewshire,CHN12b,2020-21,1069,,
East Renfrewshire,CHN12b,2021-22,1001,,
East Renfrewshire,CHN12c,2011-12,877,,
East Renfrewshire,CHN12c,2012-13,909,,
East Renfrewshire,CHN12c,2013-14,1030,,
East Renfrewshire,CHN12c,2014-15,1155,,
East Renfrewshire,CHN12c,2015-16,1160,,
East Renfrewshire,CHN12c,2016-17,1220,,
East Renfrewshire,CHN12c,2017-18,1139,,
East Renfrewshire,CHN12c,2018-19,1090,,
East Renfrewshire,CHN12c,2019-20,1128,,
East Renfrewshire,CHN12c,2020-21,1151,,
East Renfrewshire,CHN12c,2021-22,1239,,
East Renfrewshire,CHN12d,2011-12,1096,,
East Renfrewshire,CHN12d,2012-13,1007,,
East Renfrewshire,CHN12d,2013-14,1204,,
East Renfrewshire,CHN12d,2014-15,1263,,
East Renfrewshire,CHN12d,2015-16,1243,,
East Renfrewshire,CHN12d,2016-17,1281,,
East Renfrewshire,CHN12d,2017-18,1324,,
East Renfrewshire,CHN12d,2018-19,1276,,
East Renfrewshire,CHN12d,2019-20,1330,,
East Renfrewshire,CHN12d,2020-21,1337,,
East Renfrewshire,CHN12d,2021-22,1250,,
East Renfrewshire,CHN12e,2011-12,1182,,
East Renfrewshire,CHN12e,2012-13,1200,,
East Renfrewshire,CHN12e,2013-14,1292,,
East Renfrewshire,CHN12e,2014-15,1275,,
East Renfrewshire,CHN12e,2015-16,1340,,
East Renfrewshire,CHN12e,2016-17,1369,,
East Renfrewshire,CHN12e,2017-18,1300,,
East Renfrewshire,CHN12e,2018-19,1298,,
East Renfrewshire,CHN12e,2019-20,1389,,
East Renfrewshire,CHN12e,2020-21,1517,,
East Renfrewshire,CHN12e,2021-22,1483,,
East Renfrewshire,CHN12f,2011-12,1356,,
East Renfrewshire,CHN12f,2012-13,1325,,
East Renfrewshire,CHN12f,2013-14,1442,,
East Renfrewshire,CHN12f,2014-15,1425,,
East Renfrewshire,CHN12f,2015-16,1452,,
East Renfrewshire,CHN12f,2016-17,1493,,
East Renfrewshire,CHN12f,2017-18,1528,,
East Renfrewshire,CHN12f,2018-19,1479,,
East Renfrewshire,CHN12f,2019-20,1531,,
East Renfrewshire,CHN12f,2020-21,1626,,
East Renfrewshire,CHN12f,2021-22,1584,,
East Renfrewshire,CHN13a,2018-19,0.8658,,
East Renfrewshire,CHN13a,2020-21,0.861948667,,
East Renfrewshire,CHN13a,2021-22,0.858140115,,
East Renfrewshire,CHN13b,2018-19,0.9065,,
East Renfrewshire,CHN13b,2020-21,0.898828806,,
East Renfrewshire,CHN13b,2021-22,0.896285216,,
East Renfrewshire,CHN14a,2018-19,20.35,,
East Renfrewshire,CHN14a,2020-21,21.27201,,
East Renfrewshire,CHN14a,2021-22,27.81010437,,
East Renfrewshire,CHN14b,2018-19,13.07,,
East Renfrewshire,CHN14b,2020-21,16.61922,,
East Renfrewshire,CHN14b,2021-22,25.19093213,,
East Renfrewshire,CHN17,2013-14,0.8186,,
East Renfrewshire,CHN17,2014-15,0.7986,,
East Renfrewshire,CHN17,2015-16,0.8185,,
East Renfrewshire,CHN17,2016-17,0.8365,,
East Renfrewshire,CHN17,2017-18,0.8538,,
East Renfrewshire,CHN17,2018-19,0.8535,,
East Renfrewshire,CHN17,2019-20,0.8429,,
East Renfrewshire,CHN17,2020-21,0.8535,,
East Renfrewshire,CHN17,2021-22,0.8362,,
East Renfrewshire,CHN18,2010-11,0.956521739,,
East Renfrewshire,CHN18,2011-12,0.92,,
East Renfrewshire,CHN18,2012-13,0.956521739,,
East Renfrewshire,CHN18,2013-14,0.928571429,,
East Renfrewshire,CHN18,2014-15,0.925925926,,
East Renfrewshire,CHN18,2015-16,0.931034483,,
East Renfrewshire,CHN18,2016-17,0.929,,
East Renfrewshire,CHN18,2017-18,1,,
East Renfrewshire,CHN18,2018-19,0.96875,,
East Renfrewshire,CHN18,2019-20,0.97,,
East Renfrewshire,CHN18,2020-21,0.939393939,,
East Renfrewshire,CHN18,2021-22,0.911764706,,
East Renfrewshire,CHN19a,2010-11,0.952,,
East Renfrewshire,CHN19a,2012-13,0.955,,
East Renfrewshire,CHN19a,2014-15,0.956,,
East Renfrewshire,CHN19a,2016-17,0.953,,
East Renfrewshire,CHN19a,2018-19,0.95214,,
East Renfrewshire,CHN19a,2020-21,0.946,,
East Renfrewshire,CHN19b,2010-11,0.8706,,
East Renfrewshire,CHN19b,2012-13,0.9042,,
East Renfrewshire,CHN19b,2014-15,0.9,,
East Renfrewshire,CHN19b,2016-17,0.8924,,
East Renfrewshire,CHN19b,2018-19,0.8572,,
East Renfrewshire,CHN19b,2020-21,0.8367,,
East Renfrewshire,CHN20a,2010-11,6.64,,
East Renfrewshire,CHN20a,2012-13,3,,
East Renfrewshire,CHN20a,2014-15,1.1,,
East Renfrewshire,CHN20a,2016-17,3.16,,
East Renfrewshire,CHN20a,2018-19,3.08,,
East Renfrewshire,CHN20a,2020-21,1.15,,
East Renfrewshire,CHN20b,2010-11,106.06,,
East Renfrewshire,CHN20b,2012-13,111.11,,
East Renfrewshire,CHN20b,2016-17,65.42,,
East Renfrewshire,CHN20b,2018-19,51.55,,
East Renfrewshire,CHN21,2015-16,0.964,,
East Renfrewshire,CHN21,2016-17,0.962,,
East Renfrewshire,CHN21,2017-18,0.968,,
East Renfrewshire,CHN21,2018-19,0.96896484,,
East Renfrewshire,CHN21,2019-20,0.967495594,,
East Renfrewshire,CHN21,2020-21,0.971955436,,
East Renfrewshire,CHN21,2021-22,0.970413064,,
East Renfrewshire,CHN21,2022-23,0.977181208,,
East Renfrewshire,CHN22,2012-13,0.1176,,
East Renfrewshire,CHN22,2013-14,0.1163,,
East Renfrewshire,CHN22,2014-15,0.2105,,
East Renfrewshire,CHN22,2015-16,0.1724,,
East Renfrewshire,CHN22,2016-17,0.0882,,
East Renfrewshire,CHN22,2017-18,0,,
East Renfrewshire,CHN22,2018-19,0.0769,,
East Renfrewshire,CHN22,2019-20,0.1579,,
East Renfrewshire,CHN22,2020-21,0,,
East Renfrewshire,CHN22,2021-22,0,,
East Renfrewshire,CHN23,2010-11,0.1623,,
East Renfrewshire,CHN23,2011-12,0.0517,,
East Renfrewshire,CHN23,2012-13,0.107,,
East Renfrewshire,CHN23,2013-14,0.0743,,
East Renfrewshire,CHN23,2014-15,0.2123,,
East Renfrewshire,CHN23,2015-16,0.2154,,
East Renfrewshire,CHN23,2016-17,0.1966,,
East Renfrewshire,CHN23,2017-18,0.2909,,
East Renfrewshire,CHN23,2018-19,0.2451,,
East Renfrewshire,CHN23,2019-20,0.188,,
East Renfrewshire,CHN23,2020-21,0.2,,
East Renfrewshire,CHN23,2021-22,0.208,,
East Renfrewshire,CHN24,2014-15,0.149849087,,
East Renfrewshire,CHN24,2015-16,0.155959204,,
East Renfrewshire,CHN24,2016-17,0.155010432,,
East Renfrewshire,CHN24,2017-18,0.154541135,,
East Renfrewshire,CHN24,2018-19,0.146199346,,
East Renfrewshire,CHN24,2019-20,0.157684699,,
East Renfrewshire,CHN24,2020-21,0.127940387,,
