LocalAuthority,Code,Year,Indicator,Numerator,Denominator
Aberdeen City,CHN03,2020-21,10469.04,35333,3375
Aberdeen City,CHN03,2021-22,10203.61,35029,3433
Aberdeen City,CHN04,2011-12,0.47,,
Aberdeen City,CHN04,2012-13,0.48,,
Aberdeen City,CHN04,2013-14,0.49,,
Aberdeen City,CHN04,2014-15,0.52,,
Aberdeen City,CHN04,2015-16,0.55,,
Aberdeen City,CHN04,2016-17,0.57,,
Aberdeen City,CHN04,2017-18,0.58,,
Aberdeen City,CHN04,2018-19,0.58,,
Aberdeen City,CHN04,2019-20,0.6,,
Aberdeen City,CHN04,2020-21,0.63,,
Aberdeen City,CHN04,2021-22,0.7,,
Aberdeen City,CHN05,2011-12,0.27,,
Aberdeen City,CHN05,2012-13,0.25,,
Aberdeen City,CHN05,2013-14,0.27,,
Aberdeen City,CHN05,2014-15,0.3,,
Aberdeen City,CHN05,2015-16,0.32,,
Aberdeen City,CHN05,2016-17,0.32,,
Aberdeen City,CHN05,2017-18,0.32,,
Aberdeen City,CHN05,2018-19,0.31,,
Aberdeen City,CHN05,2019-20,0.36,,
Aberdeen City,CHN05,2020-21,0.37,,
Aberdeen City,CHN05,2021-22,0.39,,
Aberdeen City,CHN06,2011-12,0.16,,
Aberdeen City,CHN06,2012-13,0.24,,
Aberdeen City,CHN06,2013-14,0.22,,
Aberdeen City,CHN06,2014-15,0.22,,
Aberdeen City,CHN06,2015-16,0.33,,
Aberdeen City,CHN06,2016-17,0.3,,
Aberdeen City,CHN06,2017-18,0.29,,
Aberdeen City,CHN06,2018-19,0.32,,
Aberdeen City,CHN06,2019-20,0.37,,
Aberdeen City,CHN06,2020-21,0.43,,
Aberdeen City,CHN06,2021-22,0.48,,
Aberdeen City,CHN07,2011-12,0.05,,
Aberdeen City,CHN07,2012-13,0.05,,
Aberdeen City,CHN07,2013-14,0.08,,
Aberdeen City,CHN07,2014-15,0.07,,
Aberdeen City,CHN07,2015-16,0.14,,
Aberdeen City,CHN07,2016-17,0.09,,
Aberdeen City,CHN07,2017-18,0.1,,
Aberdeen City,CHN07,2018-19,0.09,,
Aberdeen City,CHN07,2019-20,0.14,,
Aberdeen City,CHN07,2020-21,0.17,,
Aberdeen City,CHN07,2021-22,0.13,,
Aberdeen City,CHN08a,2010-11,2914.4917,8487,56
Aberdeen City,CHN08a,2011-12,2915.035,8337,55
Aberdeen City,CHN08a,2012-13,2882.8671,8245,55
Aberdeen City,CHN08a,2013-14,2680.211,8641,62
Aberdeen City,CHN08a,2014-15,3040.7052,9487,60
Aberdeen City,CHN08a,2015-16,3018.9394,10361,66
Aberdeen City,CHN08a,2016-17,3139.4231,11101,68
Aberdeen City,CHN08a,2017-18,3720.5335,11995,62
Aberdeen City,CHN08a,2018-19,5921.1915,15703,51
Aberdeen City,CHN08a,2019-20,3271.7529,10378,61
Aberdeen City,CHN08a,2020-21,4084.0081,12105,57
Aberdeen City,CHN08a,2021-22,4158.3915,11893,55
Aberdeen City,CHN08b,2010-11,254.7585,7763,586
Aberdeen City,CHN08b,2011-12,277.8321,7946,550
Aberdeen City,CHN08b,2012-13,341.861,9795,551
Aberdeen City,CHN08b,2013-14,400.1121,10715,515
Aberdeen City,CHN08b,2014-15,420.56,10694,489
Aberdeen City,CHN08b,2015-16,444.6375,11260,487
Aberdeen City,CHN08b,2016-17,416.2246,11298,522
Aberdeen City,CHN08b,2017-18,495.7748,12555,487
Aberdeen City,CHN08b,2018-19,554.324,14153,491
Aberdeen City,CHN08b,2019-20,543.1929,14236,504
Aberdeen City,CHN08b,2020-21,612.7394,14593,458
Aberdeen City,CHN08b,2021-22,634.2535,14017,425
Aberdeen City,CHN09,2010-11,0.9128,,
Aberdeen City,CHN09,2011-12,0.9091,,
Aberdeen City,CHN09,2012-13,0.9092,,
Aberdeen City,CHN09,2013-14,0.8925,,
Aberdeen City,CHN09,2014-15,0.8907,,
Aberdeen City,CHN09,2015-16,0.8807,,
Aberdeen City,CHN09,2016-17,0.8847,,
Aberdeen City,CHN09,2017-18,0.8871,,
Aberdeen City,CHN09,2018-19,0.9059,,
Aberdeen City,CHN09,2019-20,0.892,,
Aberdeen City,CHN09,2020-21,0.8893,,
Aberdeen City,CHN09,2021-22,0.8854,,
Aberdeen City,CHN10,2010-14,0.727,,
Aberdeen City,CHN10,2012-15,0.713333333,,
Aberdeen City,CHN10,2013-16,0.69,,
Aberdeen City,CHN10,2014-17,0.69,,
Aberdeen City,CHN10,2015-18,0.67,,
Aberdeen City,CHN10,2016-19,0.670666667,,
Aberdeen City,CHN10,2017-20,0.684,,
Aberdeen City,CHN10,2018-21,0.700666667,,
Aberdeen City,CHN11,2011-12,0.885535308,,
Aberdeen City,CHN11,2012-13,0.911942099,,
Aberdeen City,CHN11,2013-14,0.915987461,,
Aberdeen City,CHN11,2014-15,0.906962415,,
Aberdeen City,CHN11,2015-16,0.908656716,,
Aberdeen City,CHN11,2016-17,0.910866911,,
Aberdeen City,CHN11,2017-18,0.917585983,,
Aberdeen City,CHN11,2018-19,0.937425507,,
Aberdeen City,CHN11,2019-20,0.903,,
Aberdeen City,CHN11,2020-21,0.953804348,,
Aberdeen City,CHN11,2021-22,0.93816156,,
Aberdeen City,CHN12a,2011-12,775.48,,
Aberdeen City,CHN12a,2012-13,764.3,,
Aberdeen City,CHN12a,2013-14,782.89,,
Aberdeen City,CHN12a,2014-15,808.36,,
Aberdeen City,CHN12a,2015-16,806.82,,
Aberdeen City,CHN12a,2016-17,821.06,,
Aberdeen City,CHN12a,2017-18,841.21,,
Aberdeen City,CHN12a,2018-19,827.5,,
Aberdeen City,CHN12a,2019-20,849.31,,
Aberdeen City,CHN12a,2020-21,866.19,,
Aberdeen City,CHN12a,2021-22,957.26,,
Aberdeen City,CHN12b,2011-12,367,,
Aberdeen City,CHN12b,2012-13,439,,
Aberdeen City,CHN12b,2013-14,430,,
Aberdeen City,CHN12b,2014-15,413,,
Aberdeen City,CHN12b,2015-16,510,,
Aberdeen City,CHN12b,2016-17,463,,
Aberdeen City,CHN12b,2017-18,447,,
Aberdeen City,CHN12b,2018-19,439,,
Aberdeen City,CHN12b,2019-20,511,,
Aberdeen City,CHN12b,2020-21,578,,
Aberdeen City,CHN12b,2021-22,571,,
Aberdeen City,CHN12c,2011-12,482,,
Aberdeen City,CHN12c,2012-13,478,,
Aberdeen City,CHN12c,2013-14,492,,
Aberdeen City,CHN12c,2014-15,538,,
Aberdeen City,CHN12c,2015-16,544,,
Aberdeen City,CHN12c,2016-17,613,,
Aberdeen City,CHN12c,2017-18,592,,
Aberdeen City,CHN12c,2018-19,603,,
Aberdeen City,CHN12c,2019-20,585,,
Aberdeen City,CHN12c,2020-21,616,,
Aberdeen City,CHN12c,2021-22,700,,
Aberdeen City,CHN12d,2011-12,615,,
Aberdeen City,CHN12d,2012-13,598,,
Aberdeen City,CHN12d,2013-14,686,,
Aberdeen City,CHN12d,2014-15,659,,
Aberdeen City,CHN12d,2015-16,695,,
Aberdeen City,CHN12d,2016-17,621,,
Aberdeen City,CHN12d,2017-18,795,,
Aberdeen City,CHN12d,2018-19,706,,
Aberdeen City,CHN12d,2019-20,722,,
Aberdeen City,CHN12d,2020-21,758,,
Aberdeen City,CHN12d,2021-22,833,,
Aberdeen City,CHN12e,2011-12,888,,
Aberdeen City,CHN12e,2012-13,826,,
Aberdeen City,CHN12e,2013-14,877,,
Aberdeen City,CHN12e,2014-15,929,,
Aberdeen City,CHN12e,2015-16,903,,
Aberdeen City,CHN12e,2016-17,953,,
Aberdeen City,CHN12e,2017-18,917,,
Aberdeen City,CHN12e,2018-19,861,,
Aberdeen City,CHN12e,2019-20,875,,
Aberdeen City,CHN12e,2020-21,879,,
Aberdeen City,CHN12e,2021-22,953,,
Aberdeen City,CHN12f,2011-12,1069,,
Aberdeen City,CHN12f,2012-13,1062,,
Aberdeen City,CHN12f,2013-14,1041,,
Aberdeen City,CHN12f,2014-15,1119,,
Aberdeen City,CHN12f,2015-16,1083,,
Aberdeen City,CHN12f,2016-17,1083,,
Aberdeen City,CHN12f,2017-18,1104,,
Aberdeen City,CHN12f,2018-19,1089,,
Aberdeen City,CHN12f,2019-20,1157,,
Aberdeen City,CHN12f,2020-21,1150,,
Aberdeen City,CHN12f,2021-22,1226,,
Aberdeen City,CHN13a,2018-19,0.7125,,
Aberdeen City,CHN13a,2020-21,0.633029046,,
