,,Chatham Roadside,
Date,Time,Nitrogen dioxide,Status
06/03/2017,08:00:00,53.23396,V ugm-3
06/03/2017,09:00:00,66.18637,V ugm-3
06/03/2017,10:00:00,53.90764,V ugm-3
06/03/2017,11:00:00,48.4704,V ugm-3
06/03/2017,12:00:00,38.94663,V ugm-3
06/03/2017,13:00:00,35.95978,V ugm-3
06/03/2017,14:00:00,34.47042,V ugm-3
06/03/2017,15:00:00,41.08337,V ugm-3
06/03/2017,16:00:00,50.89067,V ugm-3
06/03/2017,17:00:00,49.59925,V ugm-3
06/03/2017,18:00:00,66.23322,V ugm-3
06/03/2017,19:00:00,92.97762,V ugm-3
06/03/2017,20:00:00,65.98364,V ugm-3
06/03/2017,21:00:00,64.23036,V ugm-3
06/03/2017,22:00:00,44.22656,V ugm-3
06/03/2017,23:00:00,39.09007,V ugm-3
06/03/2017,24:00:00,30.27679,V ugm-3
07/03/2017,01:00:00,25.63579,V ugm-3
07/03/2017,02:00:00,20.74425,V ugm-3
07/03/2017,03:00:00,22.31027,V ugm-3
07/03/2017,04:00:00,23.97988,V ugm-3
07/03/2017,05:00:00,20.34278,V ugm-3
07/03/2017,06:00:00,31.05039,V ugm-3
07/03/2017,07:00:00,49.73456,V ugm-3
07/03/2017,08:00:00,54.10128,V ugm-3
07/03/2017,09:00:00,56.68793,V ugm-3
07/03/2017,10:00:00,54.56219,V ugm-3
07/03/2017,11:00:00,54.99968,V ugm-3
07/03/2017,12:00:00,54.41684,V ugm-3
07/03/2017,13:00:00,54.05347,V ugm-3
07/03/2017,14:00:00,43.76708,V ugm-3
07/03/2017,15:00:00,47.7819,V ugm-3
07/03/2017,16:00:00,56.59327,V ugm-3
07/03/2017,17:00:00,49.99371,V ugm-3
07/03/2017,18:00:00,52.50721,V ugm-3
07/03/2017,19:00:00,52.19834,V ugm-3
07/03/2017,20:00:00,46.18544,V ugm-3
07/03/2017,21:00:00,40.36092,V ugm-3
07/03/2017,22:00:00,27.44007,V ugm-3
07/03/2017,23:00:00,17.23784,V ugm-3
07/03/2017,24:00:00,8.81949,V ugm-3
08/03/2017,01:00:00,6.94811,V ugm-3
08/03/2017,02:00:00,2.59972,V ugm-3
08/03/2017,03:00:00,1.8972,V ugm-3
08/03/2017,04:00:00,1.39852,V ugm-3
08/03/2017,05:00:00,5.31293,V ugm-3
08/03/2017,06:00:00,12.4193,V ugm-3
08/03/2017,07:00:00,15.01265,V ugm-3
08/03/2017,08:00:00,25.46303,V ugm-3
08/03/2017,09:00:00,48.93275,V ugm-3
08/03/2017,10:00:00,30.36189,V ugm-3
08/03/2017,11:00:00,29.07813,V ugm-3
08/03/2017,12:00:00,27.4286,V ugm-3
08/03/2017,13:00:00,31.92967,V ugm-3
08/03/2017,14:00:00,37.76231,V ugm-3
08/03/2017,15:00:00,49.67288,V ugm-3
08/03/2017,16:00:00,51.68244,V ugm-3
08/03/2017,17:00:00,66.31642,V ugm-3
08/03/2017,18:00:00,68.99009,V ugm-3
08/03/2017,19:00:00,69.45818,V ugm-3
08/03/2017,20:00:00,59.73072,V ugm-3
08/03/2017,21:00:00,59.57103,V ugm-3
08/03/2017,22:00:00,42.12473,V ugm-3
08/03/2017,23:00:00,39.35303,V ugm-3
08/03/2017,24:00:00,21.97702,V ugm-3
09/03/2017,01:00:00,12.0411,V ugm-3
09/03/2017,02:00:00,7.90245,V ugm-3
09/03/2017,03:00:00,4.91465,V ugm-3
09/03/2017,04:00:00,3.81161,V ugm-3
09/03/2017,05:00:00,4.50442,V ugm-3
09/03/2017,06:00:00,10.00907,V ugm-3
09/03/2017,07:00:00,22.50056,V ugm-3
09/03/2017,08:00:00,30.58757,V ugm-3
09/03/2017,09:00:00,40.00328,V ugm-3
09/03/2017,10:00:00,30.93469,V ugm-3
09/03/2017,11:00:00,33.3081,V ugm-3
09/03/2017,12:00:00,33.41998,V ugm-3
09/03/2017,13:00:00,27.64232,V ugm-3
09/03/2017,14:00:00,32.61243,V ugm-3
09/03/2017,15:00:00,31.44007,V ugm-3
09/03/2017,16:00:00,34.29973,V ugm-3
09/03/2017,17:00:00,39.84694,V ugm-3
09/03/2017,18:00:00,42.94806,V ugm-3
09/03/2017,19:00:00,54.4943,V ugm-3
09/03/2017,20:00:00,62.26526,V ugm-3
09/03/2017,21:00:00,46.1338,V ugm-3
09/03/2017,22:00:00,21.85079,V ugm-3
09/03/2017,23:00:00,24.46853,V ugm-3
09/03/2017,24:00:00,13.91918,V ugm-3
10/03/2017,01:00:00,12.59445,V ugm-3
10/03/2017,02:00:00,18.13943,V ugm-3
10/03/2017,03:00:00,24.77453,V ugm-3
10/03/2017,04:00:00,28.90553,V ugm-3
10/03/2017,05:00:00,22.9653,V ugm-3
10/03/2017,06:00:00,36.13143,V ugm-3
10/03/2017,07:00:00,25.37123,V ugm-3
10/03/2017,08:00:00,28.30643,V ugm-3
10/03/2017,09:00:00,21.99853,V ugm-3
10/03/2017,10:00:00,21.20293,V ugm-3
10/03/2017,11:00:00,18.15536,V ugm-3
10/03/2017,12:00:00,27.72886,V ugm-3
10/03/2017,13:00:00,28.54263,V ugm-3
10/03/2017,14:00:00,27.5706,V ugm-3
10/03/2017,15:00:00,28.87971,V ugm-3
10/03/2017,16:00:00,16.61484,V ugm-3
10/03/2017,17:00:00,22.57898,V ugm-3
10/03/2017,18:00:00,25.99518,V ugm-3
10/03/2017,19:00:00,24.38438,V ugm-3
10/03/2017,20:00:00,25.08483,V ugm-3
10/03/2017,21:00:00,18.21035,V ugm-3
10/03/2017,22:00:00,22.43076,V ugm-3
10/03/2017,23:00:00,11.02843,V ugm-3
10/03/2017,24:00:00,11.158,V ugm-3
11/03/2017,01:00:00,14.5503,V ugm-3
11/03/2017,02:00:00,17.01806,V ugm-3
11/03/2017,03:00:00,13.22446,V ugm-3
11/03/2017,04:00:00,9.49987,V ugm-3
11/03/2017,05:00:00,8.57469,V ugm-3
11/03/2017,06:00:00,12.57278,V ugm-3
11/03/2017,07:00:00,14.26916,V ugm-3
11/03/2017,08:00:00,14.35188,V ugm-3
11/03/2017,09:00:00,26.28588,V ugm-3
11/03/2017,10:00:00,29.53952,V ugm-3
11/03/2017,11:00:00,29.02458,V ugm-3
11/03/2017,12:00:00,28.83572,V ugm-3
11/03/2017,13:00:00,24.94713,V ugm-3
11/03/2017,14:00:00,29.48932,V ugm-3
11/03/2017,15:00:00,24.20173,V ugm-3
11/03/2017,16:00:00,42.80749,V ugm-3
11/03/2017,17:00:00,25.18093,V ugm-3
11/03/2017,18:00:00,15.29904,V ugm-3
11/03/2017,19:00:00,18.50057,V ugm-3
