,,Edinburgh St Leonards,
Date,Time,PM10 particulate matter (Hourly measured),Status
01/03/2017,01:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,02:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,03:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,04:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,05:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,06:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,07:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,08:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,09:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,10:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,11:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,12:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,13:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,14:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,15:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,16:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,17:00:00,No data,V ugm-3 (TEOM FDMS)
01/03/2017,18:00:00,9.4,V ugm-3 (TEOM FDMS)
01/03/2017,19:00:00,2,V ugm-3 (TEOM FDMS)
01/03/2017,20:00:00,3.7,V ugm-3 (TEOM FDMS)
01/03/2017,21:00:00,4.7,V ugm-3 (TEOM FDMS)
01/03/2017,22:00:00,4.3,V ugm-3 (TEOM FDMS)
01/03/2017,23:00:00,4,V ugm-3 (TEOM FDMS)
01/03/2017,24:00:00,3.1,V ugm-3 (TEOM FDMS)
02/03/2017,01:00:00,3.3,V ugm-3 (TEOM FDMS)
02/03/2017,02:00:00,4.7,V ugm-3 (TEOM FDMS)
02/03/2017,03:00:00,2.2,V ugm-3 (TEOM FDMS)
02/03/2017,04:00:00,3.7,V ugm-3 (TEOM FDMS)
02/03/2017,05:00:00,1.3,V ugm-3 (TEOM FDMS)
02/03/2017,06:00:00,3.1,V ugm-3 (TEOM FDMS)
02/03/2017,07:00:00,2.7,V ugm-3 (TEOM FDMS)
02/03/2017,08:00:00,7.7,V ugm-3 (TEOM FDMS)
02/03/2017,09:00:00,8.4,V ugm-3 (TEOM FDMS)
02/03/2017,10:00:00,13.7,V ugm-3 (TEOM FDMS)
02/03/2017,11:00:00,20.4,V ugm-3 (TEOM FDMS)
02/03/2017,12:00:00,22,V ugm-3 (TEOM FDMS)
02/03/2017,13:00:00,16.2,V ugm-3 (TEOM FDMS)
02/03/2017,14:00:00,13.5,V ugm-3 (TEOM FDMS)
02/03/2017,15:00:00,9.5,V ugm-3 (TEOM FDMS)
02/03/2017,16:00:00,9.8,V ugm-3 (TEOM FDMS)
02/03/2017,17:00:00,9.3,V ugm-3 (TEOM FDMS)
02/03/2017,18:00:00,5.2,V ugm-3 (TEOM FDMS)
02/03/2017,19:00:00,5,V ugm-3 (TEOM FDMS)
02/03/2017,20:00:00,10.1,V ugm-3 (TEOM FDMS)
02/03/2017,21:00:00,12.9,V ugm-3 (TEOM FDMS)
02/03/2017,22:00:00,12,V ugm-3 (TEOM FDMS)
02/03/2017,23:00:00,9.5,V ugm-3 (TEOM FDMS)
02/03/2017,24:00:00,7.4,V ugm-3 (TEOM FDMS)
03/03/2017,01:00:00,1.4,V ugm-3 (TEOM FDMS)
03/03/2017,02:00:00,6.7,V ugm-3 (TEOM FDMS)
03/03/2017,03:00:00,2.1,V ugm-3 (TEOM FDMS)
03/03/2017,04:00:00,4.4,V ugm-3 (TEOM FDMS)
03/03/2017,05:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,06:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,07:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,08:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,09:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,10:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,11:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,12:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,13:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,14:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,15:00:00,No data,V ugm-3 (TEOM FDMS)
03/03/2017,16:00:00,12,V ugm-3 (TEOM FDMS)
03/03/2017,17:00:00,8.3,V ugm-3 (TEOM FDMS)
03/03/2017,18:00:00,5.9,V ugm-3 (TEOM FDMS)
03/03/2017,19:00:00,8.1,V ugm-3 (TEOM FDMS)
03/03/2017,20:00:00,8.8,V ugm-3 (TEOM FDMS)
03/03/2017,21:00:00,9.9,V ugm-3 (TEOM FDMS)
03/03/2017,22:00:00,7,V ugm-3 (TEOM FDMS)
03/03/2017,23:00:00,2.6,V ugm-3 (TEOM FDMS)
03/03/2017,24:00:00,2.8,V ugm-3 (TEOM FDMS)
04/03/2017,01:00:00,1.7,V ugm-3 (TEOM FDMS)
04/03/2017,02:00:00,6.5,V ugm-3 (TEOM FDMS)
04/03/2017,03:00:00,1.7,V ugm-3 (TEOM FDMS)
04/03/2017,04:00:00,3.3,V ugm-3 (TEOM FDMS)
04/03/2017,05:00:00,5.1,V ugm-3 (TEOM FDMS)
04/03/2017,06:00:00,5.7,V ugm-3 (TEOM FDMS)
04/03/2017,07:00:00,9.8,V ugm-3 (TEOM FDMS)
04/03/2017,08:00:00,6.9,V ugm-3 (TEOM FDMS)
04/03/2017,09:00:00,9.1,V ugm-3 (TEOM FDMS)
04/03/2017,10:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,11:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,12:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,13:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,14:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,15:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,16:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,17:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,18:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,19:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,20:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,21:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,22:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,23:00:00,No data,V ugm-3 (TEOM FDMS)
04/03/2017,24:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,01:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,02:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,03:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,04:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,05:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,06:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,07:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,08:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,09:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,10:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,11:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,12:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,13:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,14:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,15:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,16:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,17:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,18:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,19:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,20:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,21:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,22:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,23:00:00,No data,V ugm-3 (TEOM FDMS)
05/03/2017,24:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,01:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,02:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,03:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,04:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,05:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,06:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,07:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,08:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,09:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,10:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,11:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,12:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,13:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,14:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,15:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,16:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,17:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,18:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,19:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,20:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,21:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,22:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,23:00:00,No data,V ugm-3 (TEOM FDMS)
06/03/2017,24:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,01:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,02:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,03:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,04:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,05:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,06:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,07:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,08:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,09:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,10:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,11:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,12:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,13:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,14:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,15:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,16:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,17:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,18:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,19:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,20:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,21:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,22:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,23:00:00,No data,V ugm-3 (TEOM FDMS)
07/03/2017,24:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,01:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,02:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,03:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,04:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,05:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,06:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,07:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,08:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,09:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,10:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,11:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,12:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,13:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,14:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,15:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,16:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,17:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,18:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,19:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,20:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,21:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,22:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,23:00:00,No data,V ugm-3 (TEOM FDMS)
08/03/2017,24:00:00,No data,V ugm-3 (TEOM FDMS)
09/03/2017,01:00:00,No data,V ugm-3 (TEOM FDMS)
09/03/2017,02:00:00,No data,V ugm-3 (TEOM FDMS)
09/03/2017,03:00:00,No data,V ugm-3 (TEOM FDMS)
09/03/2017,04:00:00,No data,V ugm-3 (TEOM FDMS)
09/03/2017,05:00:00,No data,V ugm-3 (TEOM FDMS)
09/03/2017,06:00:00,No data,V ugm-3 (TEOM FDMS)
09/03/2017,07:00:00,No data,V ugm-3 (TEOM FDMS)
09/03/2017,08:00:00,No data,V ugm-3 (TEOM FDMS)
09/03/2017,09:00:00,No data,V ugm-3 (TEOM FDMS)
09/03/2017,10:00:00,No data,V ugm-3 (TEOM FDMS)
09/03/2017,11:00:00,No data,V ugm-3 (TEOM FDMS)
09/03/2017,12:00:00,No data,V ugm-3 (TEOM FDMS)
09/03/2017,13:00:00,No data,V ugm-3 (TEOM FDMS)
09/03/2017,14:00:00,No data,V ugm-3 (TEOM FDMS)
09/03/2017,15:00:00,8.5,V ugm-3 (TEOM FDMS)
09/03/2017,16:00:00,10.5,V ugm-3 (TEOM FDMS)
09/03/2017,17:00:00,9.7,V ugm-3 (TEOM FDMS)
09/03/2017,18:00:00,12.6,V ugm-3 (TEOM FDMS)
09/03/2017,19:00:00,14.6,V ugm-3 (TEOM FDMS)
09/03/2017,20:00:00,11.5,V ugm-3 (TEOM FDMS)
09/03/2017,21:00:00,13,V ugm-3 (TEOM FDMS)
09/03/2017,22:00:00,8.4,V ugm-3 (TEOM FDMS)
09/03/2017,23:00:00,8.9,V ugm-3 (TEOM FDMS)
09/03/2017,24:00:00,12.9,V ugm-3 (TEOM FDMS)
10/03/2017,01:00:00,8.5,V ugm-3 (TEOM FDMS)
10/03/2017,02:00:00,5,V ugm-3 (TEOM FDMS)
10/03/2017,03:00:00,No data,V ugm-3 (TEOM FDMS)
10/03/2017,04:00:00,10,V ugm-3 (TEOM FDMS)
10/03/2017,05:00:00,4.8,V ugm-3 (TEOM FDMS)
10/03/2017,06:00:00,2.3,V ugm-3 (TEOM FDMS)
10/03/2017,07:00:00,6.8,V ugm-3 (TEOM FDMS)
10/03/2017,08:00:00,11.1,V ugm-3 (TEOM FDMS)
10/03/2017,09:00:00,11.9,V ugm-3 (TEOM FDMS)
10/03/2017,10:00:00,10.8,V ugm-3 (TEOM FDMS)
10/03/2017,11:00:00,11.2,V ugm-3 (TEOM FDMS)
10/03/2017,12:00:00,13.8,V ugm-3 (TEOM FDMS)
10/03/2017,13:00:00,14.6,V ugm-3 (TEOM FDMS)
10/03/2017,14:00:00,14.5,V ugm-3 (TEOM FDMS)
10/03/2017,15:00:00,12.7,V ugm-3 (TEOM FDMS)
10/03/2017,16:00:00,13.9,V ugm-3 (TEOM FDMS)
10/03/2017,17:00:00,14.8,V ugm-3 (TEOM FDMS)
10/03/2017,18:00:00,6.8,V ugm-3 (TEOM FDMS)
10/03/2017,19:00:00,6.1,V ugm-3 (TEOM FDMS)
10/03/2017,20:00:00,5,V ugm-3 (TEOM FDMS)
10/03/2017,21:00:00,8.4,V ugm-3 (TEOM FDMS)
10/03/2017,22:00:00,8.3,V ugm-3 (TEOM FDMS)
10/03/2017,23:00:00,9.6,V ugm-3 (TEOM FDMS)
10/03/2017,24:00:00,10.3,V ugm-3 (TEOM FDMS)
11/03/2017,01:00:00,4.4,V ugm-3 (TEOM FDMS)
11/03/2017,02:00:00,8,V ugm-3 (TEOM FDMS)
11/03/2017,03:00:00,7.4,V ugm-3 (TEOM FDMS)
11/03/2017,04:00:00,6.4,V ugm-3 (TEOM FDMS)
11/03/2017,05:00:00,4.7,V ugm-3 (TEOM FDMS)
11/03/2017,06:00:00,2.1,V ugm-3 (TEOM FDMS)
11/03/2017,07:00:00,3,V ugm-3 (TEOM FDMS)
11/03/2017,08:00:00,0.3,V ugm-3 (TEOM FDMS)
11/03/2017,09:00:00,4.5,V ugm-3 (TEOM FDMS)
11/03/2017,10:00:00,2.5,V ugm-3 (TEOM FDMS)
11/03/2017,11:00:00,1.4,V ugm-3 (TEOM FDMS)
11/03/2017,12:00:00,1.4,V ugm-3 (TEOM FDMS)
11/03/2017,13:00:00,2.7,V ugm-3 (TEOM FDMS)
11/03/2017,14:00:00,2.6,V ugm-3 (TEOM FDMS)
11/03/2017,15:00:00,3.1,V ugm-3 (TEOM FDMS)
11/03/2017,16:00:00,4,V ugm-3 (TEOM FDMS)
11/03/2017,17:00:00,5.9,V ugm-3 (TEOM FDMS)
11/03/2017,18:00:00,7.1,V ugm-3 (TEOM FDMS)
11/03/2017,19:00:00,13.8,V ugm-3 (TEOM FDMS)
11/03/2017,20:00:00,15.1,V ugm-3 (TEOM FDMS)
11/03/2017,21:00:00,13.4,V ugm-3 (TEOM FDMS)
11/03/2017,22:00:00,16.3,V ugm-3 (TEOM FDMS)
11/03/2017,23:00:00,14.6,V ugm-3 (TEOM FDMS)
11/03/2017,24:00:00,6.8,V ugm-3 (TEOM FDMS)
12/03/2017,01:00:00,3,V ugm-3 (TEOM FDMS)
12/03/2017,02:00:00,1.2,V ugm-3 (TEOM FDMS)
12/03/2017,03:00:00,5.6,V ugm-3 (TEOM FDMS)
12/03/2017,04:00:00,7,V ugm-3 (TEOM FDMS)
12/03/2017,05:00:00,5.5,V ugm-3 (TEOM FDMS)
12/03/2017,06:00:00,6.7,V ugm-3 (TEOM FDMS)
12/03/2017,07:00:00,5.9,V ugm-3 (TEOM FDMS)
12/03/2017,08:00:00,6.1,V ugm-3 (TEOM FDMS)
12/03/2017,09:00:00,4,V ugm-3 (TEOM FDMS)
12/03/2017,10:00:00,-0.2,V ugm-3 (TEOM FDMS)
12/03/2017,11:00:00,0.8,V ugm-3 (TEOM FDMS)
12/03/2017,12:00:00,2.1,V ugm-3 (TEOM FDMS)
12/03/2017,13:00:00,3.1,V ugm-3 (TEOM FDMS)
12/03/2017,14:00:00,5.8,V ugm-3 (TEOM FDMS)
12/03/2017,15:00:00,4.9,V ugm-3 (TEOM FDMS)
12/03/2017,16:00:00,5.1,V ugm-3 (TEOM FDMS)
12/03/2017,17:00:00,7.6,V ugm-3 (TEOM FDMS)
12/03/2017,18:00:00,12.8,V ugm-3 (TEOM FDMS)
12/03/2017,19:00:00,15,V ugm-3 (TEOM FDMS)
12/03/2017,20:00:00,11.7,V ugm-3 (TEOM FDMS)
12/03/2017,21:00:00,6.5,V ugm-3 (TEOM FDMS)
12/03/2017,22:00:00,9.9,V ugm-3 (TEOM FDMS)
12/03/2017,23:00:00,12.1,V ugm-3 (TEOM FDMS)
12/03/2017,24:00:00,12.6,V ugm-3 (TEOM FDMS)
13/03/2017,01:00:00,13.3,V ugm-3 (TEOM FDMS)
13/03/2017,02:00:00,20.2,V ugm-3 (TEOM FDMS)
13/03/2017,03:00:00,14,V ugm-3 (TEOM FDMS)
13/03/2017,04:00:00,11.4,V ugm-3 (TEOM FDMS)
13/03/2017,05:00:00,12.6,V ugm-3 (TEOM FDMS)
13/03/2017,06:00:00,9.5,V ugm-3 (TEOM FDMS)
13/03/2017,07:00:00,2.1,V ugm-3 (TEOM FDMS)
13/03/2017,08:00:00,10,V ugm-3 (TEOM FDMS)
13/03/2017,09:00:00,17.9,V ugm-3 (TEOM FDMS)
13/03/2017,10:00:00,36.9,V ugm-3 (TEOM FDMS)
13/03/2017,11:00:00,44.3,V ugm-3 (TEOM FDMS)
13/03/2017,12:00:00,No data,V ugm-3 (TEOM FDMS)
13/03/2017,13:00:00,No data,V ugm-3 (TEOM FDMS)
13/03/2017,14:00:00,No data,V ugm-3 (TEOM FDMS)
13/03/2017,15:00:00,No data,V ugm-3 (TEOM FDMS)
13/03/2017,16:00:00,No data,V ugm-3 (TEOM FDMS)
13/03/2017,17:00:00,No data,V ugm-3 (TEOM FDMS)
13/03/2017,18:00:00,No data,V ugm-3 (TEOM FDMS)
13/03/2017,19:00:00,No data,V ugm-3 (TEOM FDMS)
13/03/2017,20:00:00,33.8,V ugm-3 (TEOM FDMS)
13/03/2017,21:00:00,26,V ugm-3 (TEOM FDMS)
13/03/2017,22:00:00,21.6,V ugm-3 (TEOM FDMS)
13/03/2017,23:00:00,16.8,V ugm-3 (TEOM FDMS)
13/03/2017,24:00:00,10,V ugm-3 (TEOM FDMS)
14/03/2017,01:00:00,5.8,V ugm-3 (TEOM FDMS)
14/03/2017,02:00:00,3.8,V ugm-3 (TEOM FDMS)
14/03/2017,03:00:00,5.5,V ugm-3 (TEOM FDMS)
14/03/2017,04:00:00,3.9,V ugm-3 (TEOM FDMS)
14/03/2017,05:00:00,-0.8,V ugm-3 (TEOM FDMS)
14/03/2017,06:00:00,4,V ugm-3 (TEOM FDMS)
14/03/2017,07:00:00,7.2,V ugm-3 (TEOM FDMS)
14/03/2017,08:00:00,17.6,V ugm-3 (TEOM FDMS)
14/03/2017,09:00:00,27.9,V ugm-3 (TEOM FDMS)
14/03/2017,10:00:00,28.1,V ugm-3 (TEOM FDMS)
14/03/2017,11:00:00,34.1,V ugm-3 (TEOM FDMS)
14/03/2017,12:00:00,29.3,V ugm-3 (TEOM FDMS)
14/03/2017,13:00:00,30.2,V ugm-3 (TEOM FDMS)
14/03/2017,14:00:00,37.1,V ugm-3 (TEOM FDMS)
14/03/2017,15:00:00,27.2,V ugm-3 (TEOM FDMS)
14/03/2017,16:00:00,28,V ugm-3 (TEOM FDMS)
14/03/2017,17:00:00,28.9,V ugm-3 (TEOM FDMS)
14/03/2017,18:00:00,17.8,V ugm-3 (TEOM FDMS)
14/03/2017,19:00:00,17.5,V ugm-3 (TEOM FDMS)
14/03/2017,20:00:00,13.9,V ugm-3 (TEOM FDMS)
14/03/2017,21:00:00,19.2,V ugm-3 (TEOM FDMS)
14/03/2017,22:00:00,13.9,V ugm-3 (TEOM FDMS)
14/03/2017,23:00:00,12.6,V ugm-3 (TEOM FDMS)
14/03/2017,24:00:00,16.4,V ugm-3 (TEOM FDMS)
15/03/2017,01:00:00,13.1,V ugm-3 (TEOM FDMS)
15/03/2017,02:00:00,11.3,V ugm-3 (TEOM FDMS)
15/03/2017,03:00:00,18.3,V ugm-3 (TEOM FDMS)
15/03/2017,04:00:00,20.6,V ugm-3 (TEOM FDMS)
15/03/2017,05:00:00,21,V ugm-3 (TEOM FDMS)
15/03/2017,06:00:00,21.8,V ugm-3 (TEOM FDMS)
15/03/2017,07:00:00,22.1,V ugm-3 (TEOM FDMS)
15/03/2017,08:00:00,26.7,V ugm-3 (TEOM FDMS)
15/03/2017,09:00:00,29.2,V ugm-3 (TEOM FDMS)
15/03/2017,10:00:00,29.2,V ugm-3 (TEOM FDMS)
15/03/2017,11:00:00,28.7,V ugm-3 (TEOM FDMS)
15/03/2017,12:00:00,24.7,V ugm-3 (TEOM FDMS)
15/03/2017,13:00:00,12.6,V ugm-3 (TEOM FDMS)
15/03/2017,14:00:00,14.6,V ugm-3 (TEOM FDMS)
15/03/2017,15:00:00,16.7,V ugm-3 (TEOM FDMS)
15/03/2017,16:00:00,12.1,V ugm-3 (TEOM FDMS)
15/03/2017,17:00:00,13.8,V ugm-3 (TEOM FDMS)
15/03/2017,18:00:00,15.5,V ugm-3 (TEOM FDMS)
15/03/2017,19:00:00,12,V ugm-3 (TEOM FDMS)
15/03/2017,20:00:00,8.8,V ugm-3 (TEOM FDMS)
15/03/2017,21:00:00,8.6,V ugm-3 (TEOM FDMS)
15/03/2017,22:00:00,12,V ugm-3 (TEOM FDMS)
15/03/2017,23:00:00,9.9,V ugm-3 (TEOM FDMS)
15/03/2017,24:00:00,9.1,V ugm-3 (TEOM FDMS)
16/03/2017,01:00:00,5.6,V ugm-3 (TEOM FDMS)
16/03/2017,02:00:00,8.6,V ugm-3 (TEOM FDMS)
16/03/2017,03:00:00,5.9,V ugm-3 (TEOM FDMS)
16/03/2017,04:00:00,7.3,V ugm-3 (TEOM FDMS)
16/03/2017,05:00:00,7,V ugm-3 (TEOM FDMS)
16/03/2017,06:00:00,1.9,V ugm-3 (TEOM FDMS)
16/03/2017,07:00:00,6.4,V ugm-3 (TEOM FDMS)
16/03/2017,08:00:00,6.8,V ugm-3 (TEOM FDMS)
16/03/2017,09:00:00,5.8,V ugm-3 (TEOM FDMS)
16/03/2017,10:00:00,6.6,V ugm-3 (TEOM FDMS)
16/03/2017,11:00:00,1.9,V ugm-3 (TEOM FDMS)
16/03/2017,12:00:00,9.5,V ugm-3 (TEOM FDMS)
16/03/2017,13:00:00,5.9,V ugm-3 (TEOM FDMS)
16/03/2017,14:00:00,2.6,V ugm-3 (TEOM FDMS)
16/03/2017,15:00:00,6.2,V ugm-3 (TEOM FDMS)
16/03/2017,16:00:00,9.6,V ugm-3 (TEOM FDMS)
16/03/2017,17:00:00,13.6,V ugm-3 (TEOM FDMS)
16/03/2017,18:00:00,13.9,V ugm-3 (TEOM FDMS)
16/03/2017,19:00:00,9.9,V ugm-3 (TEOM FDMS)
16/03/2017,20:00:00,9.3,V ugm-3 (TEOM FDMS)
16/03/2017,21:00:00,7.9,V ugm-3 (TEOM FDMS)
16/03/2017,22:00:00,7.9,V ugm-3 (TEOM FDMS)
16/03/2017,23:00:00,7.9,V ugm-3 (TEOM FDMS)
16/03/2017,24:00:00,7.3,V ugm-3 (TEOM FDMS)
17/03/2017,01:00:00,5.5,V ugm-3 (TEOM FDMS)
17/03/2017,02:00:00,3.6,V ugm-3 (TEOM FDMS)
17/03/2017,03:00:00,3.8,V ugm-3 (TEOM FDMS)
17/03/2017,04:00:00,2.9,V ugm-3 (TEOM FDMS)
17/03/2017,05:00:00,2.9,V ugm-3 (TEOM FDMS)
17/03/2017,06:00:00,2.1,V ugm-3 (TEOM FDMS)
17/03/2017,07:00:00,1.6,V ugm-3 (TEOM FDMS)
17/03/2017,08:00:00,1,V ugm-3 (TEOM FDMS)
17/03/2017,09:00:00,2.1,V ugm-3 (TEOM FDMS)
17/03/2017,10:00:00,7.8,V ugm-3 (TEOM FDMS)
17/03/2017,11:00:00,1.6,V ugm-3 (TEOM FDMS)
17/03/2017,12:00:00,0.5,V ugm-3 (TEOM FDMS)
17/03/2017,13:00:00,3.3,V ugm-3 (TEOM FDMS)
17/03/2017,14:00:00,3.7,V ugm-3 (TEOM FDMS)
17/03/2017,15:00:00,3,V ugm-3 (TEOM FDMS)
17/03/2017,16:00:00,-0.3,V ugm-3 (TEOM FDMS)
17/03/2017,17:00:00,1.6,V ugm-3 (TEOM FDMS)
17/03/2017,18:00:00,1.4,V ugm-3 (TEOM FDMS)
17/03/2017,19:00:00,2.9,V ugm-3 (TEOM FDMS)
17/03/2017,20:00:00,0.9,V ugm-3 (TEOM FDMS)
17/03/2017,21:00:00,1.1,V ugm-3 (TEOM FDMS)
