LocalAuthority,IndicatorCode,Year,IndicatorCash_LA,NumeratorCash_LA,DenominatorCash_LA
East Ayrshire,ENV05a,2015-16,3240.00,396.00,122060.00
East Ayrshire,ENV05a,2016-17,2870.00,351.00,122200.00
East Ayrshire,ENV05a,2017-18,4550.00,555.00,121940.00
East Ayrshire,ENV05a,2018-19,4600.00,561.00,121840.00
East Ayrshire,ENV05a,2019-20,4220.00,515.00,122010.00
East Ayrshire,ENV05a,2020-21,5590.00,680.00,121600.00
East Ayrshire,ENV05a,2021-22,5790.00,706.00,122020.00
East Ayrshire,ENV05b,2012-13,10128.70,1243.00,122720.00
East Ayrshire,ENV05b,2013-14,10699.10,1310.00,122440.00
East Ayrshire,ENV05b,2014-15,11387.60,1391.00,122150.00
East Ayrshire,ENV05b,2015-16,11330.50,1383.00,122060.00
East Ayrshire,ENV05b,2016-17,14950.90,1827.00,122200.00
East Ayrshire,ENV05b,2017-18,12539.00,1529.00,121940.00
East Ayrshire,ENV05b,2018-19,10366.10,1263.00,121840.00
East Ayrshire,ENV05b,2019-20,10728.60,1309.00,122010.00
East Ayrshire,ENV05b,2020-21,10139.80,1233.00,121600.00
East Ayrshire,ENV05b,2021-22,10498.30,1281.00,122020.00
East Ayrshire,ENV06,2010-11,0.44,,
East Ayrshire,ENV06,2011-12,0.47,,
East Ayrshire,ENV06,2012-13,0.44,,
East Ayrshire,ENV06,2013-14,0.49,,
East Ayrshire,ENV06,2014-15,0.50,,
East Ayrshire,ENV06,2015-16,0.53,,
East Ayrshire,ENV06,2016-17,0.53,,
East Ayrshire,ENV06,2017-18,0.53,,
East Ayrshire,ENV06,2018-19,0.52,,
East Ayrshire,ENV06,2019-20,0.53,,
East Ayrshire,ENV06,2020-21,0.41,,
East Ayrshire,ENV06,2021-22,0.49,,
East Ayrshire,ENV07a,2010-14,0.82,,
East Ayrshire,ENV07a,2012-15,0.84,,
East Ayrshire,ENV07a,2013-16,0.82,,
East Ayrshire,ENV07a,2014-17,0.77,,
East Ayrshire,ENV07a,2015-18,0.72,,
East Ayrshire,ENV07a,2016-19,0.68,,
East Ayrshire,ENV07a,2017-20,0.67,,
East Ayrshire,ENV07a,2018-21,0.67,,
East Ayrshire,ENV07a,2019-22,0.70,,
East Ayrshire,ENV07b,2010-14,0.69,,
East Ayrshire,ENV07b,2012-15,0.68,,
East Ayrshire,ENV07b,2013-16,0.67,,
East Ayrshire,ENV07b,2014-17,0.65,,
East Ayrshire,ENV07b,2015-18,0.65,,
East Ayrshire,ENV07b,2016-19,0.62,,
East Ayrshire,ENV07b,2017-20,0.56,,
East Ayrshire,ENV07b,2018-21,0.53,,
East Ayrshire,ENV07b,2019-22,0.54,,
East Ayrshire,FINSUS01,2013-14,0.15,,
East Ayrshire,FINSUS01,2014-15,0.18,,
East Ayrshire,FINSUS01,2015-16,0.20,,
East Ayrshire,FINSUS01,2016-17,0.20,,
East Ayrshire,FINSUS01,2017-18,0.21,,
East Ayrshire,FINSUS01,2018-19,0.21,,
East Ayrshire,FINSUS01,2019-20,0.20,,
East Ayrshire,FINSUS01,2020-21,0.28,,
East Ayrshire,FINSUS01,2021-22,0.27,,
East Ayrshire,FINSUS02,2013-14,0.03,,
East Ayrshire,FINSUS02,2014-15,0.03,,
East Ayrshire,FINSUS02,2015-16,0.05,,
East Ayrshire,FINSUS02,2016-17,0.04,,
East Ayrshire,FINSUS02,2017-18,0.04,,
East Ayrshire,FINSUS02,2018-19,0.04,,
East Ayrshire,FINSUS02,2019-20,0.03,,
East Ayrshire,FINSUS02,2020-21,0.03,,
East Ayrshire,FINSUS02,2021-22,0.03,,
East Ayrshire,FINSUS03,2013-14,0.11,,
East Ayrshire,FINSUS03,2014-15,0.11,,
East Ayrshire,FINSUS03,2015-16,0.11,,
East Ayrshire,FINSUS03,2016-17,0.11,,
East Ayrshire,FINSUS03,2017-18,0.10,,
East Ayrshire,FINSUS03,2018-19,0.10,,
East Ayrshire,FINSUS03,2019-20,0.09,,
East Ayrshire,FINSUS03,2020-21,0.09,,
East Ayrshire,FINSUS03,2021-22,0.09,,
East Ayrshire,FINSUS04,2013-14,0.16,,
East Ayrshire,FINSUS04,2014-15,0.15,,
East Ayrshire,FINSUS04,2015-16,0.17,,
East Ayrshire,FINSUS04,2016-17,0.16,,
East Ayrshire,FINSUS04,2017-18,0.16,,
East Ayrshire,FINSUS04,2018-19,0.15,,
East Ayrshire,FINSUS04,2019-20,0.17,,
East Ayrshire,FINSUS04,2020-21,0.18,,
East Ayrshire,FINSUS04,2021-22,0.18,,
East Ayrshire,FINSUS05,2013-14,0.95,234594.00,245988.00
East Ayrshire,FINSUS05,2014-15,0.95,222021.00,233760.00
East Ayrshire,FINSUS05,2015-16,1.00,240028.00,240028.00
East Ayrshire,FINSUS05,2016-17,1.00,243768.00,243772.00
East Ayrshire,FINSUS05,2017-18,1.00,243449.00,243442.00
East Ayrshire,FINSUS05,2018-19,1.00,248810.00,248828.00
East Ayrshire,FINSUS05,2019-20,1.00,318215.00,318458.00
East Ayrshire,FINSUS05,2020-21,1.00,356831.00,356831.00
East Ayrshire,FINSUS05,2021-22,1.00,373105.00,372966.00
East Ayrshire,HSN01b,2013-14,0.04,1673500.00,39502764.00
East Ayrshire,HSN01b,2014-15,0.05,1910063.00,41621673.00
East Ayrshire,HSN01b,2015-16,0.05,2281463.00,43289384.00
East Ayrshire,HSN01b,2016-17,0.06,2558696.00,44692641.00
East Ayrshire,HSN01b,2017-18,0.07,2896055.00,44368946.00
East Ayrshire,HSN01b,2018-19,0.08,3326227.00,44324968.00
East Ayrshire,HSN01b,2019-20,0.07,3144701.00,44918517.00
East Ayrshire,HSN01b,2020-21,0.07,3436747.00,45853853.00
East Ayrshire,HSN01b,2021-22,0.08,3736992.00,46517234.00
East Ayrshire,HSN01b,2022-23,0.08,3988973.00,47269824.00
East Ayrshire,HSN02,2013-14,0.02,792278.00,39502764.00
East Ayrshire,HSN02,2014-15,0.03,1108920.00,41621673.00
East Ayrshire,HSN02,2015-16,0.03,1300340.00,43289384.00
East Ayrshire,HSN02,2016-17,0.03,1304256.00,44692641.00
East Ayrshire,HSN02,2017-18,0.02,754474.00,44368946.00
East Ayrshire,HSN02,2018-19,0.01,628094.00,44324968.00
East Ayrshire,HSN02,2019-20,0.02,707099.00,44918517.00
East Ayrshire,HSN02,2020-21,0.02,800907.00,45853853.00
East Ayrshire,HSN02,2021-22,0.02,701310.00,46517234.00
East Ayrshire,HSN02,2022-23,0.01,603262.00,47269824.00
East Ayrshire,HSN03,2013-14,0.92,11706.00,12765.00
East Ayrshire,HSN03,2014-15,0.98,12481.00,12724.00
East Ayrshire,HSN03,2015-16,0.98,12521.00,12731.00
East Ayrshire,HSN03,2016-17,0.98,12338.00,12527.00
East Ayrshire,HSN03,2017-18,0.99,12249.00,12424.00
East Ayrshire,HSN03,2018-19,0.99,12000.00,12163.00
East Ayrshire,HSN03,2019-20,0.99,11955.00,12122.00
East Ayrshire,HSN03,2020-21,0.98,11905.00,12106.00
East Ayrshire,HSN03,2021-22,0.91,10943.00,12010.00
East Ayrshire,HSN03,2022-23,0.95,11420.00,12027.00
East Ayrshire,HSN04b,2013-14,2.89,88789.00,30722.00
East Ayrshire,HSN04b,2014-15,10.67,436074.00,40868.00
East Ayrshire,HSN04b,2015-16,9.05,320945.00,35452.00
East Ayrshire,HSN04b,2016-17,7.46,247883.00,33243.00
East Ayrshire,HSN04b,2017-18,5.40,175546.00,32522.00
East Ayrshire,HSN04b,2018-19,6.93,234661.00,33859.00
East Ayrshire,HSN04b,2019-20,7.52,230747.00,30702.00
East Ayrshire,HSN04b,2020-21,5.88,178147.00,30275.00
East Ayrshire,HSN04b,2021-22,8.49,278445.00,32809.00
East Ayrshire,HSN04b,2022-23,9.03,290186.00,32127.00
East Ayrshire,HSN05a,2015-16,0.89,11308.00,12731.00
East Ayrshire,HSN05a,2016-17,0.94,11831.00,12527.00
East Ayrshire,HSN05a,2017-18,0.97,12071.00,12424.00
East Ayrshire,HSN05a,2018-19,0.98,11913.00,12163.00
East Ayrshire,HSN05a,2019-20,0.99,12014.00,12122.00
East Ayrshire,HSN05a,2020-21,0.99,12030.00,12106.00
East Ayrshire,HSN05a,2021-22,1.00,11954.00,12010.00
East Ayrshire,SW01,2010-11,21.09,530681.32,11193.00
East Ayrshire,SW01,2011-12,16.51,618529.08,10215.00
East Ayrshire,SW01,2012-13,18.81,596867.44,11228.00
East Ayrshire,SW01,2013-14,19.45,625824.68,12174.00
East Ayrshire,SW01,2014-15,20.67,592942.48,12254.00
East Ayrshire,SW01,2015-16,20.12,636248.60,12804.00
East Ayrshire,SW01,2016-17,23.97,588207.88,14098.00
East Ayrshire,SW01,2017-18,23.81,588953.04,14025.00
East Ayrshire,SW01,2018-19,21.96,663468.00,14571.00
East Ayrshire,SW01,2019-20,24.21,619229.00,14991.00
East Ayrshire,SW01,2020-21,29.19,571012.00,16668.00
East Ayrshire,SW01,2021-22,31.12,576342.00,17933.00
East Ayrshire,SW02,2010-11,0.01,547.00,57776.00
East Ayrshire,SW02,2011-12,0.01,629.00,57072.00
East Ayrshire,SW02,2012-13,0.01,845.00,62859.00
East Ayrshire,SW02,2013-14,0.02,1023.00,66166.00
East Ayrshire,SW02,2014-15,0.02,1516.00,63982.00
East Ayrshire,SW02,2015-16,0.03,2145.00,66453.00
East Ayrshire,SW02,2016-17,0.04,2706.00,64926.00
East Ayrshire,SW02,2017-18,0.05,3074.00,66745.00
East Ayrshire,SW02,2018-19,0.05,3162.00,69357.00
East Ayrshire,SW02,2019-20,0.05,3456.00,72402.00
East Ayrshire,SW02,2020-21,0.04,3764.00,86715.00
East Ayrshire,SW02,2021-22,0.11,10316.00,93433.00
East Ayrshire,SW03a,2010-11,0.65,,
East Ayrshire,SW03a,2011-12,0.73,,
East Ayrshire,SW03a,2012-13,0.68,,
East Ayrshire,SW03a,2013-14,0.66,,
East Ayrshire,SW03a,2014-15,0.67,,
East Ayrshire,SW03a,2015-16,0.68,,
East Ayrshire,SW03a,2016-17,0.67,,
East Ayrshire,SW03a,2017-18,0.71,,
East Ayrshire,SW03a,2018-19,0.68,,
East Ayrshire,SW03a,2019-20,0.67,,
East Ayrshire,SW03a,2020-21,0.69,,
East Ayrshire,SW03a,2021-22,0.71,,
East Ayrshire,SW03a,2022-23,0.72,,
East Ayrshire,SW04b,2013-14,0.88,,
East Ayrshire,SW04b,2015-16,0.85,,
East Ayrshire,SW04b,2017-18,0.77,,
East Ayrshire,SW04b,2019-20,0.87,,
East Ayrshire,SW04b,2021-22,0.76,,
East Ayrshire,SW04c,2013-14,0.87,,
East Ayrshire,SW04c,2015-16,0.88,,
East Ayrshire,SW04c,2017-18,0.80,,
East Ayrshire,SW04c,2019-20,0.86,,
East Ayrshire,SW04c,2021-22,0.76,,
East Ayrshire,SW04d,2013-14,0.86,,
East Ayrshire,SW04d,2015-16,0.80,,
East Ayrshire,SW04d,2017-18,0.74,,
East Ayrshire,SW04d,2019-20,0.79,,
East Ayrshire,SW04d,2021-22,0.71,,
East Ayrshire,SW04e,2013-14,0.45,,
East Ayrshire,SW04e,2015-16,0.50,,
East Ayrshire,SW04e,2017-18,0.36,,
East Ayrshire,SW04e,2019-20,0.36,,
East Ayrshire,SW04e,2021-22,0.28,,
East Ayrshire,SW05,2010-11,564.86,21736.00,740.00
East Ayrshire,SW05,2011-12,681.82,20209.00,570.00
East Ayrshire,SW05,2012-13,544.31,20096.00,710.00
East Ayrshire,SW05,2013-14,468.15,19475.00,800.00
East Ayrshire,SW05,2014-15,532.40,19933.00,720.00
East Ayrshire,SW05,2015-16,535.50,20606.00,740.00
East Ayrshire,SW05,2016-17,417.99,15867.00,730.00
East Ayrshire,SW05,2017-18,469.60,16361.00,670.00
East Ayrshire,SW05,2018-19,445.39,15749.00,680.00
East Ayrshire,SW05,2019-20,474.41,16775.24,680.00
East Ayrshire,SW05,2020-21,668.73,21907.49,630.00
East Ayrshire,SW05,2021-22,467.33,15735.00,647.50
East Ayrshire,SW06,2010-11,93.52,2576.00,27546.00
East Ayrshire,SW06,2011-12,102.81,2874.00,27955.00
East Ayrshire,SW06,2012-13,106.75,2941.00,27550.00
East Ayrshire,SW06,2013-14,108.70,2968.00,27304.00
East Ayrshire,SW06,2014-15,104.55,2902.00,27756.00
East Ayrshire,SW06,2015-16,108.29,2844.00,26264.00
East Ayrshire,SW06,2016-17,117.19,3190.00,27220.00
East Ayrshire,SW06,2017-18,118.08,3227.00,27329.00
East Ayrshire,SW06,2018-19,118.00,3251.00,27552.00
East Ayrshire,SW06,2019-20,112.86,3089.00,27371.00
East Ayrshire,SW06,2020-21,132.13,2597.00,19655.00
East Ayrshire,SW06,2021-22,120.69,2754.00,22819.00
East Ayrshire,SW06,2022-23,107.51,2461.00,22891.00
East Ayrshire,SW07,2011-12,0.79,,
East Ayrshire,SW07,2012-13,0.80,,
East Ayrshire,SW07,2013-14,0.81,,
East Ayrshire,SW07,2014-15,0.84,,
East Ayrshire,SW07,2015-16,0.84,,
East Ayrshire,SW07,2016-17,0.83,,
East Ayrshire,SW07,2017-18,0.81,,
East Ayrshire,SW07,2018-19,0.65,,
East Ayrshire,SW07,2019-20,0.75,,
East Ayrshire,SW07,2020-21,0.76,,
East Ayrshire,SW07,2021-22,0.71,,
East Ayrshire,SW07,2022-23,0.72,,
East Dunbartonshire,C&L01,2010-11,2.65,2619.00,987719.00
East Dunbartonshire,C&L01,2011-12,3.07,3041.00,989884.00
East Dunbartonshire,C&L01,2012-13,2.68,2944.00,1097041.00
East Dunbartonshire,C&L01,2013-14,2.08,2470.00,1186183.00
East Dunbartonshire,C&L01,2014-15,2.13,2393.00,1120941.00
East Dunbartonshire,C&L01,2015-16,2.07,2292.00,1109187.00
East Dunbartonshire,C&L01,2016-17,2.22,2391.00,1076222.00
East Dunbartonshire,C&L01,2017-18,2.53,2533.00,1000961.00
East Dunbartonshire,C&L01,2018-19,2.31,2241.00,969461.00
East Dunbartonshire,C&L01,2019-20,2.44,2364.00,970019.00
East Dunbartonshire,C&L01,2020-21,86.56,2835.00,32752.00
East Dunbartonshire,C&L01,2021-22,4.48,2492.00,556414.00
East Dunbartonshire,C&L02,2010-11,6.43,2714.00,422295.00
East Dunbartonshire,C&L02,2011-12,4.99,2306.00,462426.00
East Dunbartonshire,C&L02,2012-13,3.34,2232.00,668234.00
East Dunbartonshire,C&L02,2013-14,3.22,2200.00,682801.00
East Dunbartonshire,C&L02,2014-15,4.37,2350.00,537385.00
East Dunbartonshire,C&L02,2015-16,4.08,2332.00,571984.00
East Dunbartonshire,C&L02,2016-17,4.16,2305.00,553967.00
East Dunbartonshire,C&L02,2017-18,5.01,2481.00,495658.00
East Dunbartonshire,C&L02,2018-19,3.93,1987.00,505000.00
East Dunbartonshire,C&L02,2019-20,2.90,2095.00,721357.00
East Dunbartonshire,C&L02,2020-21,4.33,2514.00,580222.00
East Dunbartonshire,C&L02,2021-22,3.13,2227.00,711193.00
East Dunbartonshire,C&L03,2010-11,15.87,374.00,23572.00
East Dunbartonshire,C&L03,2011-12,10.24,346.00,33773.00
East Dunbartonshire,C&L03,2012-13,10.47,328.00,31333.00
East Dunbartonshire,C&L03,2013-14,8.87,292.00,32906.00
East Dunbartonshire,C&L03,2014-15,5.69,222.00,38983.00
East Dunbartonshire,C&L03,2015-16,4.94,187.00,37879.00
East Dunbartonshire,C&L03,2016-17,5.24,183.00,34952.00
East Dunbartonshire,C&L03,2017-18,5.70,201.00,35249.00
East Dunbartonshire,C&L03,2018-19,5.52,224.00,40593.00
East Dunbartonshire,C&L03,2019-20,5.85,226.00,38611.00
East Dunbartonshire,C&L03,2020-21,348.47,284.00,815.00
East Dunbartonshire,C&L03,2021-22,6.65,255.00,38342.00
East Dunbartonshire,C&L04,2010-11,22595.14,2363.00,104580.00
East Dunbartonshire,C&L04,2011-12,22233.91,2325.00,104570.00
East Dunbartonshire,C&L04,2012-13,22893.84,2424.00,105880.00
East Dunbartonshire,C&L04,2013-14,25911.58,2743.00,105860.00
East Dunbartonshire,C&L04,2014-15,24838.38,2651.00,106730.00
East Dunbartonshire,C&L04,2015-16,25906.88,2771.00,106960.00
East Dunbartonshire,C&L04,2016-17,24521.11,2637.00,107540.00
East Dunbartonshire,C&L04,2017-18,25524.83,2760.00,108130.00
East Dunbartonshire,C&L04,2018-19,27222.38,2949.00,108330.00
East Dunbartonshire,C&L04,2019-20,24613.40,2674.00,108640.00
East Dunbartonshire,C&L04,2020-21,28772.41,3129.00,108750.00
East Dunbartonshire,C&L04,2021-22,28282.83,3080.00,108900.00
East Dunbartonshire,C&L05a,2010-14,0.85,,
East Dunbartonshire,C&L05a,2012-15,0.84,,
East Dunbartonshire,C&L05a,2013-16,0.81,,
East Dunbartonshire,C&L05a,2014-17,0.77,,
East Dunbartonshire,C&L05a,2015-18,0.75,,
East Dunbartonshire,C&L05a,2016-19,0.74,,
East Dunbartonshire,C&L05a,2017-20,0.77,,
East Dunbartonshire,C&L05a,2018-21,0.78,,
East Dunbartonshire,C&L05a,2019-22,0.84,,
East Dunbartonshire,C&L05b,2010-14,0.82,,
East Dunbartonshire,C&L05b,2012-15,0.83,,
East Dunbartonshire,C&L05b,2013-16,0.83,,
East Dunbartonshire,C&L05b,2014-17,0.83,,
East Dunbartonshire,C&L05b,2015-18,0.85,,
East Dunbartonshire,C&L05b,2016-19,0.83,,
East Dunbartonshire,C&L05b,2017-20,0.84,,
East Dunbartonshire,C&L05b,2018-21,0.86,,
East Dunbartonshire,C&L05b,2019-22,0.90,,
East Dunbartonshire,C&L05c,2010-14,0.78,,
East Dunbartonshire,C&L05c,2012-15,0.75,,
East Dunbartonshire,C&L05c,2013-16,0.70,,
East Dunbartonshire,C&L05c,2014-17,0.62,,
East Dunbartonshire,C&L05c,2015-18,0.54,,
East Dunbartonshire,C&L05c,2016-19,0.52,,
East Dunbartonshire,C&L05c,2017-20,0.58,,
East Dunbartonshire,C&L05c,2018-21,0.63,,
East Dunbartonshire,C&L05c,2019-22,0.67,,
East Dunbartonshire,C&L05d,2010-14,0.81,,
East Dunbartonshire,C&L05d,2012-15,0.82,,
East Dunbartonshire,C&L05d,2013-16,0.77,,
East Dunbartonshire,C&L05d,2014-17,0.78,,
East Dunbartonshire,C&L05d,2015-18,0.74,,
East Dunbartonshire,C&L05d,2016-19,0.73,,
East Dunbartonshire,C&L05d,2017-20,0.73,,
East Dunbartonshire,C&L05d,2018-21,0.76,,
East Dunbartonshire,C&L05d,2019-22,0.79,,
East Dunbartonshire,CHN01,2010-11,4819.55,39448.00,8185.00
East Dunbartonshire,CHN01,2011-12,4757.75,38966.00,8190.00
East Dunbartonshire,CHN01,2012-13,4693.13,38784.00,8264.00
East Dunbartonshire,CHN01,2013-14,4581.08,38591.00,8424.00
East Dunbartonshire,CHN01,2014-15,4617.70,39860.00,8632.00
East Dunbartonshire,CHN01,2015-16,4510.42,39615.00,8783.00
East Dunbartonshire,CHN01,2016-17,4776.76,42389.00,8874.00
East Dunbartonshire,CHN01,2017-18,4701.12,42296.00,8997.00
East Dunbartonshire,CHN01,2018-19,4802.88,44028.00,9167.00
East Dunbartonshire,CHN01,2019-20,5134.05,47146.00,9183.00
East Dunbartonshire,CHN01,2020-21,5668.99,52030.00,9178.00
East Dunbartonshire,CHN01,2021-22,6238.96,56787.00,9102.00
East Dunbartonshire,CHN02,2010-11,7770.25,59489.00,7656.00
East Dunbartonshire,CHN02,2011-12,6480.54,48792.00,7529.00
East Dunbartonshire,CHN02,2012-13,6505.51,49019.00,7535.00
East Dunbartonshire,CHN02,2013-14,6637.89,49678.00,7484.00
East Dunbartonshire,CHN02,2014-15,6837.12,50622.00,7404.00
East Dunbartonshire,CHN02,2015-16,6729.70,50143.00,7451.00
East Dunbartonshire,CHN02,2016-17,7092.64,52443.00,7394.00
East Dunbartonshire,CHN02,2017-18,7157.20,53951.00,7538.00
East Dunbartonshire,CHN02,2018-19,7406.39,56533.00,7633.00
East Dunbartonshire,CHN02,2019-20,7634.06,59706.00,7821.00
East Dunbartonshire,CHN02,2020-21,7927.46,62944.00,7940.00
East Dunbartonshire,CHN02,2021-22,8521.37,68989.00,8096.00
East Dunbartonshire,CHN03,2010-11,3126.74,5847.00,1870.00
East Dunbartonshire,CHN03,2011-12,2778.87,5391.00,1940.00
East Dunbartonshire,CHN03,2012-13,2758.11,5359.00,1943.00
East Dunbartonshire,CHN03,2013-14,2490.31,5267.00,2115.00
East Dunbartonshire,CHN03,2014-15,3344.01,6056.00,1811.00
East Dunbartonshire,CHN03,2015-16,3732.85,6693.00,1793.00
East Dunbartonshire,CHN03,2016-17,3865.36,7321.00,1894.00
East Dunbartonshire,CHN03,2017-18,4094.62,7919.00,1934.00
East Dunbartonshire,CHN03,2018-19,4701.23,9205.00,1958.00
East Dunbartonshire,CHN03,2019-20,6474.51,12444.00,1922.00
East Dunbartonshire,CHN03,2020-21,8351.31,16878.00,2021.00
East Dunbartonshire,CHN03,2021-22,10276.47,21745.00,2116.00
East Dunbartonshire,CHN04,2011-12,0.72,,
East Dunbartonshire,CHN04,2012-13,0.75,,
East Dunbartonshire,CHN04,2013-14,0.74,,
East Dunbartonshire,CHN04,2014-15,0.78,,
East Dunbartonshire,CHN04,2015-16,0.80,,
East Dunbartonshire,CHN04,2016-17,0.83,,
East Dunbartonshire,CHN04,2017-18,0.83,,
East Dunbartonshire,CHN04,2018-19,0.84,,
East Dunbartonshire,CHN04,2019-20,0.88,,
East Dunbartonshire,CHN04,2020-21,0.87,,
East Dunbartonshire,CHN04,2021-22,0.88,,
East Dunbartonshire,CHN05,2011-12,0.44,,
East Dunbartonshire,CHN05,2012-13,0.48,,
East Dunbartonshire,CHN05,2013-14,0.49,,
East Dunbartonshire,CHN05,2014-15,0.53,,
East Dunbartonshire,CHN05,2015-16,0.56,,
East Dunbartonshire,CHN05,2016-17,0.57,,
East Dunbartonshire,CHN05,2017-18,0.60,,
East Dunbartonshire,CHN05,2018-19,0.59,,
East Dunbartonshire,CHN05,2019-20,0.66,,
East Dunbartonshire,CHN05,2020-21,0.69,,
East Dunbartonshire,CHN05,2021-22,0.66,,
East Dunbartonshire,CHN06,2011-12,0.52,,
East Dunbartonshire,CHN06,2012-13,0.44,,
East Dunbartonshire,CHN06,2013-14,0.51,,
East Dunbartonshire,CHN06,2014-15,0.61,,
East Dunbartonshire,CHN06,2015-16,0.58,,
East Dunbartonshire,CHN06,2016-17,0.64,,
East Dunbartonshire,CHN06,2017-18,0.62,,
East Dunbartonshire,CHN06,2018-19,0.71,,
East Dunbartonshire,CHN06,2019-20,0.74,,
East Dunbartonshire,CHN06,2020-21,0.72,,
East Dunbartonshire,CHN06,2021-22,0.79,,
East Dunbartonshire,CHN07,2011-12,0.30,,
East Dunbartonshire,CHN07,2012-13,0.18,,
East Dunbartonshire,CHN07,2013-14,0.00,,
East Dunbartonshire,CHN07,2014-15,0.27,,
East Dunbartonshire,CHN07,2015-16,0.38,,
East Dunbartonshire,CHN07,2016-17,0.33,,
East Dunbartonshire,CHN07,2017-18,0.33,,
East Dunbartonshire,CHN07,2018-19,0.35,,
East Dunbartonshire,CHN07,2019-20,0.43,,
East Dunbartonshire,CHN07,2020-21,0.42,,
East Dunbartonshire,CHN07,2021-22,0.47,,
East Dunbartonshire,CHN08a,2010-11,2204.62,2866.00,25.00
East Dunbartonshire,CHN08a,2011-12,3682.19,3638.00,19.00
East Dunbartonshire,CHN08a,2012-13,2642.31,2748.00,20.00
East Dunbartonshire,CHN08a,2013-14,3008.36,3598.00,23.00
East Dunbartonshire,CHN08a,2014-15,2871.79,3136.00,21.00
East Dunbartonshire,CHN08a,2015-16,2822.74,3376.00,23.00
East Dunbartonshire,CHN08a,2016-17,3490.77,4538.00,25.00
East Dunbartonshire,CHN08a,2017-18,4444.93,5085.00,22.00
East Dunbartonshire,CHN08a,2018-19,4222.03,4830.00,22.00
East Dunbartonshire,CHN08a,2019-20,4602.27,5265.00,22.00
East Dunbartonshire,CHN08a,2020-21,4394.62,5713.00,25.00
East Dunbartonshire,CHN08a,2021-22,4637.46,6511.00,27.00
East Dunbartonshire,CHN08b,2010-11,236.86,1478.00,120.00
East Dunbartonshire,CHN08b,2011-12,184.64,1373.00,143.00
East Dunbartonshire,CHN08b,2012-13,219.80,1463.00,128.00
East Dunbartonshire,CHN08b,2013-14,203.46,1386.00,131.00
East Dunbartonshire,CHN08b,2014-15,136.77,1081.00,152.00
East Dunbartonshire,CHN08b,2015-16,183.85,1348.00,141.00
East Dunbartonshire,CHN08b,2016-17,194.55,1386.00,137.00
East Dunbartonshire,CHN08b,2017-18,278.68,1710.00,118.00
East Dunbartonshire,CHN08b,2018-19,379.47,2506.00,127.00
East Dunbartonshire,CHN08b,2019-20,411.13,2822.00,132.00
East Dunbartonshire,CHN08b,2020-21,394.44,2851.00,139.00
East Dunbartonshire,CHN08b,2021-22,439.94,2974.00,130.00
East Dunbartonshire,CHN09,2010-11,0.83,,
East Dunbartonshire,CHN09,2011-12,0.88,,
East Dunbartonshire,CHN09,2012-13,0.86,,
East Dunbartonshire,CHN09,2013-14,0.85,,
East Dunbartonshire,CHN09,2014-15,0.88,,
East Dunbartonshire,CHN09,2015-16,0.86,,
East Dunbartonshire,CHN09,2016-17,0.85,,
East Dunbartonshire,CHN09,2017-18,0.84,,
East Dunbartonshire,CHN09,2018-19,0.85,,
East Dunbartonshire,CHN09,2019-20,0.86,,
East Dunbartonshire,CHN09,2020-21,0.85,,
East Dunbartonshire,CHN09,2021-22,0.83,,
East Dunbartonshire,CHN10,2010-14,0.90,,
East Dunbartonshire,CHN10,2012-15,0.90,,
East Dunbartonshire,CHN10,2013-16,0.85,,
East Dunbartonshire,CHN10,2014-17,0.82,,
East Dunbartonshire,CHN10,2015-18,0.76,,
East Dunbartonshire,CHN10,2016-19,0.76,,
East Dunbartonshire,CHN10,2017-20,0.78,,
East Dunbartonshire,CHN10,2018-21,0.79,,
East Dunbartonshire,CHN10,2019-22,0.80,,
East Dunbartonshire,CHN11,2011-12,0.95,,
East Dunbartonshire,CHN11,2012-13,0.96,,
East Dunbartonshire,CHN11,2013-14,0.97,,
East Dunbartonshire,CHN11,2014-15,0.97,,
East Dunbartonshire,CHN11,2015-16,0.98,,
East Dunbartonshire,CHN11,2016-17,0.98,,
East Dunbartonshire,CHN11,2017-18,0.99,,
East Dunbartonshire,CHN11,2018-19,0.97,,
East Dunbartonshire,CHN11,2019-20,0.98,,
East Dunbartonshire,CHN11,2020-21,0.99,,
East Dunbartonshire,CHN11,2021-22,0.99,,
East Dunbartonshire,CHN12a,2011-12,1090.78,,
East Dunbartonshire,CHN12a,2012-13,1154.93,,
East Dunbartonshire,CHN12a,2013-14,1134.98,,
East Dunbartonshire,CHN12a,2014-15,1192.83,,
East Dunbartonshire,CHN12a,2015-16,1268.40,,
East Dunbartonshire,CHN12a,2016-17,1304.52,,
East Dunbartonshire,CHN12a,2017-18,1312.40,,
East Dunbartonshire,CHN12a,2018-19,1245.90,,
East Dunbartonshire,CHN12a,2019-20,1345.47,,
East Dunbartonshire,CHN12a,2020-21,1391.64,,
East Dunbartonshire,CHN12a,2021-22,1371.42,,
East Dunbartonshire,CHN12b,2011-12,810.00,,
East Dunbartonshire,CHN12b,2012-13,695.00,,
East Dunbartonshire,CHN12b,2013-14,788.00,,
East Dunbartonshire,CHN12b,2014-15,823.00,,
East Dunbartonshire,CHN12b,2015-16,972.00,,
East Dunbartonshire,CHN12b,2016-17,948.00,,
East Dunbartonshire,CHN12b,2017-18,920.00,,
East Dunbartonshire,CHN12b,2018-19,977.00,,
East Dunbartonshire,CHN12b,2019-20,1013.00,,
East Dunbartonshire,CHN12b,2020-21,1018.00,,
