LocalAuthority,IndicatorCode,Year,IndicatorCash_LA,NumeratorCash_LA,DenominatorCash_LA
Aberdeen City,CHN02,2018-19,7444.71,66444.00,8925.00
Aberdeen City,CHN02,2019-20,7712.06,70226.00,9106.00
Aberdeen City,CHN02,2020-21,7285.85,69915.00,9596.00
Aberdeen City,CHN02,2021-22,7113.04,71422.00,10041.00
Aberdeen City,CHN03,2010-11,2058.15,7574.00,3680.00
Aberdeen City,CHN03,2011-12,2185.71,7956.00,3640.00
Aberdeen City,CHN03,2012-13,2866.54,10589.00,3694.00
Aberdeen City,CHN03,2013-14,2672.49,10861.00,4064.00
Aberdeen City,CHN03,2014-15,3838.37,13845.00,3607.00
Aberdeen City,CHN03,2015-16,4654.16,16378.00,3519.00
Aberdeen City,CHN03,2016-17,5026.27,18562.00,3693.00
Aberdeen City,CHN03,2017-18,4540.15,15718.00,3462.00
Aberdeen City,CHN03,2018-19,4398.61,15769.00,3585.00
Aberdeen City,CHN03,2019-20,7315.83,26754.00,3657.00
Aberdeen City,CHN03,2020-21,10469.04,35333.00,3375.00
Aberdeen City,CHN03,2021-22,10203.61,35029.00,3433.00
Aberdeen City,CHN04,2011-12,0.47,,
Aberdeen City,CHN04,2012-13,0.48,,
Aberdeen City,CHN04,2013-14,0.49,,
Aberdeen City,CHN04,2014-15,0.52,,
Aberdeen City,CHN04,2015-16,0.55,,
Aberdeen City,CHN04,2016-17,0.57,,
Aberdeen City,CHN04,2017-18,0.58,,
Aberdeen City,CHN04,2018-19,0.58,,
Aberdeen City,CHN04,2019-20,0.60,,
Aberdeen City,CHN04,2020-21,0.63,,
Aberdeen City,CHN04,2021-22,0.70,,
Aberdeen City,CHN05,2011-12,0.27,,
Aberdeen City,CHN05,2012-13,0.25,,
Aberdeen City,CHN05,2013-14,0.27,,
Aberdeen City,CHN05,2014-15,0.30,,
Aberdeen City,CHN05,2015-16,0.32,,
Aberdeen City,CHN05,2016-17,0.32,,
Aberdeen City,CHN05,2017-18,0.32,,
Aberdeen City,CHN05,2018-19,0.31,,
