,,Edinburgh Haymarket,
Date,Time,Nitrogen dioxide,Status
26/01/2007,10:00:00,69,V ugm-3
26/01/2007,11:00:00,78,V ugm-3
26/01/2007,12:00:00,73,V ugm-3
26/01/2007,13:00:00,65,V ugm-3
26/01/2007,14:00:00,63,V ugm-3
26/01/2007,15:00:00,52,V ugm-3
26/01/2007,16:00:00,67,V ugm-3
26/01/2007,17:00:00,76,V ugm-3
26/01/2007,18:00:00,63,V ugm-3
26/01/2007,19:00:00,57,V ugm-3
26/01/2007,20:00:00,53,V ugm-3
26/01/2007,21:00:00,69,V ugm-3
26/01/2007,22:00:00,71,V ugm-3
26/01/2007,23:00:00,53,V ugm-3
26/01/2007,24:00:00,38,V ugm-3
